any_suggestion,suggest_safe,suggest_efficient,agree_proposal,discuss_coordinate,discuss_fairness,discuss_efficient,discuss_rules,explanation,discuss_howtoplay,ask_game,receive_report,truthful,falsehood,contradict,neither_report,original_message,row_id
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2; fila 2 / 1; ya queda menosssss / 0; perdooooon / 1; habiamos dicho 2 y 2,0
1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,"2; la ultima xd / 1; pff / 1; que hacemos / 2; c3 f3? ni para ti ni para mi xd / 2; o que propones? / 1; c3 f4 jajaja / 1; que yo llevo menos / 2; no tio / 2; o tia xd / 2; llevo yo menos / 1; en total? / 1; yo creo que no / 2; yo diria que si / 1; que tu antes has ganado 15 mas que yo / 2; va c3 f3 / 1; y al principio tambien / 2; por que en la primera has elegido esa? / 1; no pillaba el juego / 2; grande jajaja / 2; claro / 1; no, en esta no / 1; las rentables son las de 50 jajaja / 2; pero mira, el la ronda dos y tres yo he ganado 71 y si hieramos dado las dos veces a 36 serian 72 / 1; lo se / 2; c4 / 1; o / 1; fila 5 / 1; para ti son 3 menos / 1; que la otra combinacion / 1; f5 c5? / 2; pero tu ganas mucho más , / 2; okey / 1; eso a ti no te resta / 1; ahora f3 / 1; aunque ojalá ser A / 1; nos duplica siempre jajajajaj / 2; si , quién se supone que es A ? / 2; otra persona que no hace nada durante toda la sesión? / 1; una persona que no hace nada / 2; XD / 1; exacto / 2; q estamos viendo / 1; c5 f5 / 2; c1 f2 / 1; y la proxima tu mas / 2; vale / 2; pero no dejamos a uno / 2; con menos de 30 / 2; vale? / 2; nono / 2; c1 c1 o c2 c2 / 2; q ganas un poco menos / 2; y luego comepnsa / 1; un poquito mejor / 2; y la proxima para la f / 0; vale / 1; perfecto / 0; 2-2 entonces? / 1; sii / 2; mas igual / 1; juego 2 / 0; 42464 / 1; 4-4? / 1; vale / 0; yo diria que si / 2; o 3-3",15
1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,"0; valeee / 2; que bien estamos de acuerdo siempre jajaja / 0; si tio, y oigo a la gente escribir mucho / 2; quieres / 2; dime / 1; perfe voy / 1; c4 f4 / 2; y poque no c5f5 / 2; ganas mas / 2; juego 4 / 1; siii no la vi / 1; esaa / 1; 5 5 / 2; ok / 1; fila 5 / 1; columna 5 / 2; fila 1 / 1; propongo 3 y 3 / 1; si / 0; vale mirar / 0; todos los 3 y 3 / 0; de todos los juegos / 2; dos y dos tmb esta bien eh / 0; pongo siempre 3 y 3? / 2; lo que querais / 1; eh / 0; liada mia / 0; perdonarme / 0; es que al final habia leido el 1 y 1 / 1; ahora es el juego 4 / 0; y se me habia ido la cabeza / 1; igualmente si te fijas / 1; tampoco es que te lleves mucho mas / 2; a ver no creo k fuera cabrona / 2; la verdad / 2; xk me sabria mal que venga la gente  yo jodiendo / 0; eso espero porque como haya tercera ronda y cambiemos de rol... / 0; jajajajajaja / 2; prefiero ser buena xD / 1; jajaja / 1; no creo que haya ya / 1; congeniamos muy bien jaja / 2; jaja yo igual digo que escribeen... / 0; quiero saber quin soooois / 2; y yoo / 0; jope / 2; igual,no? / 1; muy bien sigaMOS DOS MAS AMIGO@ / 1; SII / 2; ok / 1; 5 Y 5 / 2; c5f5, no / 2; ?? / 1; siii / 2; igual que antes / 1; perfecto / 2; okais / 1; ahora te tocara a ti / 2; en la siguiente ya / 1; ? / 0; columna 1 / 2; lo vamos viendo / 1; 3 y 3",2
1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,"0; Vale / 1; Es lo que te iba a decir / 1; menos mal, me ahorras tener que explicartelo / 2; f2 c2 jajajaj / 1; pues eso, ahora elegimos el 2 / 1; esque en la anterior nos ha costado darnos cuenta / 2; igual / 1; f3 c3 no? / 2; como el de antes, c3 f3 / 2; si / 1; pues que tal? Te has acordado de coger paraguas? / 2; no / 1; Yo no y me he chopado / 2; jajaj / 1; mal vamos tomando decisiones / 2; he aparcado lejos / 1; vale sii / 2; luego si averiguamos quien es, que nos pague 2 birras y au / 1; jajaja ea / 1; c3 fc3? / 2; c3 y f3? / 2; perfecto / 2; seguimos con c3 f3? / 1; si / 1; pero en otras rondas podriamos cambiarnos en plan seleccionamos para que obtengas la mejor pubtuacion para ti / 1; y ala siguiente ronda la mejor puntuacion para mi / 1; para ir ganando mas nosotros, sabes? / 2; sii / 1; pero bueno esta c3 f3 / 2; también lo he pensado / 2; en la siguiente lo hacemos pues / 1; perf / 2; c1 f1? / 1; la que mas te beneficia a ti es esa / 2; sii / 1; a la siguiente buscamos una que me beneficie a mi? / 2; luego miramos la que más a ti / 2; te juro que he pensado que volvia a salir... jajajaja / 1; jajajajajajaja sii seguroo / 2; lo juro / 1; aaahhh okey / 2; nosotros tenemos que decirle que juego es / 0; pero da igual que ponga 1 que 2 que 3 / 2; y el toma una decicsion dentro de ese juego / 1; vale / 2; juego 2 / 1; juego 2 / 0; enserio la tarea del rol A esta sobrevalorada / 0; encima que no ve el juego gana mas... / 2; jajaj ya ves / 2; eres el de lla toma de decisiones / 1; fila5 y columna 5 / 1; A no tienes hora no? / 0; noo / 2; me gustaria saber q nos estudian con esto / 0; hola / 2; hola / 1; a cual vas a coger / 0; puedo preguntar cual ha tocado? / 0; o elijo yo? / 1; elige fila y columna / 2; en el juego 3 la mejor es la fila y columna 3 no? / 1; coge fila 5 columna c5 / 0; Del juego 3? / 2; sí / 0; Perfecto / 2; nan / 2; como querais / 1; 1 / 0; ahora para F / 1; f5c5 / 2; bien por mi / 0; vale / 0; f5c5 / 2; auque no sé si nos sale rentable esto eh? si hubieramos amarrado tendríamos 32 en las dos rondas / 2; jajajaaj / 1; y la siguiente para c, pq A siempre gana mas / 2; i me ha tocado mojarme / 1; no vives por aqui? / 2; no, soy de fuera / 1; aah / 1; pero estudias en la universidad / 1; aqui somos todos estudiantes? o hay gente que no lo es? / 2; ahora 9 rondas ya es aburrido / 2; no lo se / 2; creo que tienes que ser universitario / 1; y tanto jaja / 1; esque como a veces he visto gente mayor no estaba seguro / 1; tu es la primera vez que vienes? / 2; pues eso",6
1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,"1; como antes? c3 f3? / 2; me parece bien / 1; el F siempre recibe menos / 1; o sino cual? / 2; recibimos lo mismo en esta / 1; ya, ya / 2; 32 cad uno / 2; que antes he perdido 18 xd / 1; jajajajajaja porq estabais despuntando / 2; sii / 1; para ambos / 1; c3-f3 jajajaja siempre el mismo pero son 40 / 1; lo mismo / 1; miralo / 1; a ver si lo entiendes / 2; c5f5? ganas otra vez mas / 2; el que? / 1; tener que ganar 80? si esos 80 no van para ti / 2; ya, pero es como mas ganas / 2; y si nos turnabamos / 2; no? / 2; no se, da igual, ya se ha acabado / 2; jajaja / 1; jajaja pues eso / 2; cuanto habremos ganado? / 1; poquito / 2; ajajajajaja oke / 2; okey / 2; aceptamos barco / 1; y es lo mismo solo dependemos del azar de las rondas que sangan / 1; salgan / 2; por mi esa / 0; f3 c3 / 1; pues esa / 0; defnitiva f3 c3 / 1; probemos mas por si acaso / 0; vale / 2; vale? / 0; cual / 0; el que me digais / 2; spera / 1; f2 c2? / 1; no / 1; espera / 1; c3 f3 / 2; jajajaja / 1; ole jajaj / 0; vale / 0; jajajjajaj / 2; ya me lo se hasta de memoria / 1; este si renta / 2; si / 1; fila 3 columna3 / 1; el juego es el 5 / 0; que juego es / 0; 4 4? / 1; columna 5 fila 5 / 2; fila 2 c 2 / 0; la 5-5 / 1; el 2 2 es menos puntos / 1; 5-5 o 4-4",12
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,"1; f3 / 2; pero son 54 y 26 / 2; que es lo mismo si elegimos 40 / 2; son 80 / 2; decidamos / 1; ha habido un momento que yo he ganado 50 y tu 26 y luego te ha tocado lo mismo y has cogido tu 50 y yo 26 tb / 1; lo que quieras / 2; vale / 2; el a se estara aburriendo maximo / 2; jajajaja / 1; jajajaj ademas de verdad / 1; pero y lo que va a ganar? / 1; no 3 como tu antes / 2; c1 y f1 / 1; yo creo que f3 / 2; claro , o ganas tu más o ganamos igual XD / 1; cuando toque juego 1 ponemos f1 y c1 y compensa / 2; pero no sabes cuando va a salir / 2; esa esa / 2; ganamos todos / 2; el A mas / 0; c3 f3 / 1; vale / 1; sii esa / 1; C3 F3 / 1; lo he mirado ahora / 1; c3 f3? / 1; pero lo que quieras / 0; c2 f2 / 1; me da igual / 2; vale va / 2; pues esa / 1; va / 2; que asi comenso un poco / 2; que en la ronda una tengo 8 puntos y 10 / 1; valee / 2; que vais a escoger",8
1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,"2; c2 f2? / 2; que antes he ganado menos que tu jajaj / 1; como? / 1; c3 f2? / 2; antes yo he ganado 18 y tu 29 / 2; f2 c2 ganamos mas que c3 f2 / 1; vale / 2; f2 c2 entonces? jajaj / 1; jajajajajaj no lo hagassss / 2; jajajaja / 2; la ultima lo hacemos / 1; okay / 1; 32-32, porque mi maximo aqqui son 38, asique da igual / 2; porque a ti no te sale rentable / 1; hola / 2; hacemos c2 / 2; fila f2 ? / 2; y ganamos los 2 lo máximo? / 1; fila 4 yo gano mas / 2; hola / 1; hola / 1; fila 4 / 1; sr c jajajaja / 2; f1 c1 / 1; f1c1 / 2; esto es pura suerte y probabilidad , si ya tenemos una estrategia de juego / 2; depende lo que salga / 1; exacto / 2; ya tenemos los resultados / 2; pillamos cada vez uno 70 puntos / 0; yo la que me digais / 1; vale / 0; va / 0; cual / 2; espera / 1; bueno pues esa / 2; c2 c2 / 2; ? / 2; y luego ganas mas tu lo q veas / 2; te dan 33 / 1; vale / 2; no esta mal / 1; pues ese y luego al reves / 2; si es el 2 / 2; si es el 4 / 2; c4 c4 / 2; mas o menos asi / 1; c3 f3 / 1; ? / 1; el juego es el 2 / 2; 2-2? / 1; 3-3? / 0; y si ponemos uno que gane mucho la f y luego en la siguiente que gane3 el c? / 1; podemos probar la tactica / 2; vale pero queda ests y otra / 0; probamos? / 1; poned / 1; 11 / 1; 42370 / 1; no / 0; vale / 1; 42402",14
1,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,"2; si / 0; vale / 1; y si no sale pues en la ultima el maximo de F / 1; ahora vemos / 0; vale perfecto / 0; eso / 0; cmo digasis / 2; j3 f3 y c3 / 1; dale ese q te hemos dicho / 0; okey / 1; dime cuanto nos estaremos llevando C / 1; ? / 2; nuestro máximo depende porque el suyo es 80 en todas / 0; bueno, pos ahora si que si es la despedida / 1; juego 1 / 1; 3 3' / 1; ? / 0; el maximo de f es el 5-5 no? / 2; creo que va / 2; en el 1 y 2 gano yo / 0; jajaja / 0; ula ultima sugerencia? / 1; A VER  2 3 3 / 2; pues f3 c3 del j2 / 1; SI VEIS UNA MEJOR DECIR / 2; o si F quiere perder 3 puintos / 0; veo una mejor / 0; o lo hacemos equitativo? / 1; pero para ganar 38 prefiero los 32 equitativo / 0; hacemos esta equitativa y la ultima el maximo a f? / 1; y al siguiente si sale mas ese / 2; f de diferencia son 6 puntos, esperamos a la siguiente a ver si puede tener mas / 1; si / 1; mejor / 0; vale pues 3-3 / 1; juego 2",24
1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,"1; le vamos a quitar a A? / 2; si le quitamos a A / 2; tambien perdemos nosotros jajaj / 1; ya.. / 1; que ponemos? / 2; c2 f2 o c3 f3? / 1; y xq no c4, f4? / 2; c3f3 / 2; se acaba ek tiempo xd / 2; no?* / 1; sii, son 32, no esta mal / 1; si vemos que en alguna de c3-f3 la cantidad es peque, podemos mirar otra cosa / 2; en verdad te la puedo jugar y elegir otra / 2; o tu / 2; jaajja / 1; solo nos llevamos 6 puntos de diferencia entre nosotros / 1; ya ves / 1; gana si quieres esta tu mas me da igual / 1; jajajaj pero diii / 2; vale / 2; c1f1 / 1; oki / 1; me llevas unos 20 puntos más tu / 1; en esta podemos ir igual / 2; vale / 2; pero de que juego de los 5 ? / 1; el 4 / 1; han selecccionado ellos / 1; lo pone arriba / 2; okey / 2; es verdad / 2; Hola / 2; o c3 f3 ? / 1; f5c5 / 1; que acabamos de hacer f1c1 / 2; asi ganamos lo mismo , realmente la idea es llevarnos el máximo de dinero / 1; f3c3? / 2; okey / 1; a ver yo lo que digo es que si en lugar de llevarnos 30 y 30 dos veces que son 60 te llevas en una ronda 26 y otra 54 al final suman mas / 2; interesante .... / 1; aunque en la anterior hayas tenido que sacar 3 o 6 menos porque la otra persona saca 10 veces mas / 2; si , tienes razón sr. F / 1; esa es mi teoría.. / 1; dome / 2; habia una de 80-26.80 / 2; pero luego gano un poco mas yo / 1; c3 f3 / 1; ganampos 36 los dos / 1; mejor / 2; a ver por 3 puntos / 2; me da iguyal / 2; sabes / 0; c3 y f3 entonces / 2; c4 c4 si quieres / 0; uy / 0; se acaba / 0; jajajajajajaja / 1; cuales son mejor / 1; adelantando / 2; no me acuerdo pero siempre pomgo / 2; c2 c2 / 0; 42464 / 0; i la 3-3? / 1; el juego es el 1 / 1; 4-4? / 0; 2 2 / 2; 42432 / 1; 42432 / 0; vale / 1; el juego es el 5 / 1; 4-4? / 2; 42432 / 0; yo creo que 3-3 / 1; okay / 0; y 5-5? / 0; y luego ponemos una en la que el c gane mas",13
1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,"1; HOLA / 2; hola / 1; z / 1; Y TU? / 2; c2 / 2; bien? / 1; perfecto / 2; hoola / 2; el bloque 1 / 1; hola / 1; c1? / 1; c4f4 / 2; entonces gano yo ahora 50? / 1; ? / 2; correee / 1; la siguiente / 1; mira / 1; fijate / 2; yaa / 1; ahora si, ve a por el de 50 / 2; peeerf / 1; se pensaban que habíamos hecho trampas jaja que susto tú / 2; que? / 2; eeeh / 2; ya lo he pillado / 1; jajaj que pasa? / 2; tenemos que coger el que sume 80 siempre / 2; o si no sale / 1; quedan 7 rondas / 2; antes has ganado tu , ahora quiero ganar yo / 1; no querias ganar? / 2; c3 y f3 / 1; f3 c3? / 0; perfecto / 1; esa esa / 2; asi asi juego en equipo / 2; buah te vas a forrar A / 2; vale va c3 f3 sui no hay mejor / 1; por eso / 0; cual / 2; por 3 puntos me da igual / 2; c4 c4 / 0; c4 f4 entonces / 1; 4 4 / 1; columna 4 fila 4 / 2; yo solo tengo tres filas / 0; que juego vas a escoger? / 1; 4 / 1; el juego es el 4 por defecto / 0; vale / 1; la columna 4 y la fila 4 es el que mas nos beneficia / 0; que vais a marcar? / 1; el juego es el 2",9
