error,row_id,original_message,code,treatment
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 3, 'STR': 1 }",0,Muy cómodo y agradable,0bkjfmmh,1
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",1,habia ruido del altavoz ,0dqlym8c,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",2,un poco molesto el ruido,0fp71y5j,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 3, 'STR': 3 }",3,Fue un ambiente muy agradable 10/10,0kkkkfza,3
"{ 'SEN': 0, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",4,estuvo normal,0nqdjg46,2
"{ 'SEN': -1, 'MR': 1, 'MS': 0, 'CONF': 2, 'CONC': 3, 'STR': 3 }",5,durante el experimeto habia un sonido bastante incomodo,0o2ejtzd,2
"{ 'SEN': 1, 'MR': 0, 'MS': 1, 'CONF': 3, 'CONC': 4, 'STR': 3 }",6,El silencio ayuda a concentrarse en la actividades,0pa8qb1r,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",7,buena,0rixd1vv,3
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 3, 'CONC': 3, 'STR': 3 }",8,Agradable,0rn918s3,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 5, 'CONC': 3, 'STR': 1 }",9,"bastante agradable, fue muy cómodo",0rsywoes,2
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 5, 'STR': 2 }",10,"Muy bueno, apto para la concentración ",0ubspe6g,1
"{ 'SEN': 1, 'MR': 0, 'MS': 0, 'CONF': 4, 'CONC': 3, 'STR': 2 }",11,muy agradable,0wi0gxt2,1
