category,treatment,Claude,GPT,Human,paper_Table6
agree_proposal,CH-MC,0.8044943820224719,0.6314606741573033,0.8219461697722568,0.679
agree_proposal,CH/S-D,0.7821576763485477,0.6680497925311203,0.8402489626556017,0.789
any_suggestion,CH-MC,0.9303370786516854,0.8382022471910112,0.9399585921325052,0.907
any_suggestion,CH/S-D,0.9066390041493776,0.8713692946058091,0.9585062240663901,0.931
ask_game,CH-MC,0.14831460674157304,0.1707865168539326,0.2277432712215321,0.194
ask_game,CH/S-D,0.03112033195020747,0.04149377593360996,0.0,
discuss_efficient,CH-MC,0.32808988764044944,0.6292134831460674,0.5072463768115942,0.377
discuss_efficient,CH/S-D,0.22821576763485477,0.46680497925311204,0.491701244813278,0.394
discuss_fairness,CH-MC,0.5146067415730337,0.4067415730337079,0.4824016563146998,0.439
discuss_fairness,CH/S-D,0.46680497925311204,0.2925311203319502,0.35892116182572614,0.318
discuss_rules,CH-MC,0.09662921348314607,0.0651685393258427,0.13043478260869565,0.15
discuss_rules,CH/S-D,0.03319502074688797,0.01867219917012448,0.07883817427385892,0.117
explanation,CH-MC,0.40224719101123596,0.6786516853932584,0.2857142857142857,0.323
explanation,CH/S-D,0.2821576763485477,0.5124481327800829,0.17634854771784234,0.217
falsehood,CH-MC,0.02247191011235955,0.017977528089887642,0.043478260869565216,0.034
falsehood,CH/S-D,0.026970954356846474,0.014522821576763486,0.0,
neither_report,CH-MC,0.5595505617977528,0.5887640449438202,0.36024844720496896,
neither_report,CH/S-D,0.8755186721991701,0.8941908713692946,1.0,
receive_report,CH-MC,0.48089887640449436,0.41123595505617977,0.7536231884057971,
receive_report,CH/S-D,0.15975103734439833,0.10580912863070539,0.0,
suggest_efficient,CH-MC,0.20449438202247192,0.6247191011235955,0.6045548654244306,0.577
suggest_efficient,CH/S-D,0.21784232365145229,0.46887966804979253,0.5020746887966805,0.484
suggest_safe,CH-MC,0.701123595505618,0.10561797752808989,0.6273291925465838,0.606
suggest_safe,CH/S-D,0.6037344398340249,0.07676348547717843,0.5684647302904564,0.541
truthful,CH-MC,0.44719101123595506,0.38202247191011235,0.7432712215320911,0.684
truthful,CH/S-D,0.13278008298755187,0.0912863070539419,0.0,
