any_suggestion,suggest_safe,suggest_efficient,agree_proposal,discuss_coordinate,discuss_fairness,discuss_efficient,discuss_rules,explanation,discuss_howtoplay,ask_game,receive_report,truthful,falsehood,contradict,neither_report,original_message,row_id
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,333/jajaja numero extraño jaajajajaajaj/la mitad de 666/jajajajaja todo muy curioso/jajaja/jajaja,148
1.0,0,1.0,1.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,1,"apues, llevas una rachita/¿cuál seleccionamos ahora?/al, final resulta que no tendriamos que haber camiado en la ronda esa/ya/f5 c5/pero no pasa na/okay/bueno ha sido un placer participar contigo/igualmente/que te vaya bien en proximos experimentos",154
1.0,0,0.5,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,"qué hacemos/el c3, f3 del 3 es el que mas puntos da, no?/vale/a ver/tanto j5 f5 c5 y j4 f4 c4/todos esos dan 80/menos el 5/perdón/ya pero hay desproporcion entre lo que da a f y a c/hay que ver quien da más puntos pero segun el rol/yo he dicho el tres porque esta igual/a veeces da proporcional y otras no",501
0.0,0,0.0,0.0,0,1.0,0.0,0,0.0,0,0,0,0,0,0,1,te toca ganar mas no?/esq tu en ningun cuadro ganas mucho la verdad/42495/?/vale gracias/okey/y el otro 80 como no.../solo gana eso/o 72/80 y 72/xd/excepto en las dos primeras que la he liado yo jajaja/xd jaj,385
1.0,0,1.0,1.0,0,0.5,1.0,0,1.0,0,0,0,0,0,0,1,2/3.3?/2.2000000000000002/una de esas dos bien/okey/si os fijais en todos los juegos los mejores son los que estan relacionados con su fila y columna/2.2 3.3 asi/me entendeis?/que cosa mas rara/jajaj/es verdad/por ahora no hemos dicho 2.4 o algo asi/en plan son los mas justos entre F y C,762
1.0,1,0.0,0.0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,1,"c2 f2/Pero que asi esto es muy simple/solo gana A mas/Imagina que A no existe y luego se reparte la mitad/A existe/este experimento ya lo he hechp/Bueno, pues entonces hay que buscar el maximo beneficio para los dos",426
1.0,0,1.0,0.0,0,0.0,0.5,0,0.5,0,0,0,0,0,0,1,"fila 2 columna 2/fila 5 columna 5/fila 3 columna 3/la mejor para todos/ahora si no?/a A lo que mas le beneficia es 5, 5/a no juega a 3, 3",518
0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,1,1,1,0,0,0,igual/juego 1?/juego 1 no?/sisi/si/no?/si/sii,480
0.5,0,0.0,0.5,0,0.5,0.0,0,0.0,0,1,1,1,0,0,0,DECIDME/Q JUEGO ES/1/42370/VALE/42432/lo mas esquitativo,697
1.0,0,0.5,1.0,0,0.0,0.0,0,0.0,0,0,1,1,0,0,0,"hola/has elegido ya la fili?/fila/he escogido el juego 2 ,fila 1 y columna/1/1/buenas*",4
