"Pair","message","Comp","JPMabel","NotAtAll","Early","Event","topic1","topic2","topic3"
94,"""26 26"" ""non "" ""d'accord"" ""14"" ""hhhhh"" ""28 28 ça te va ?"" ""4"" ""et toi"" ""et toi"" ""propose"" ""non "" ""on fait le contraire"" ""t'as menti !!"" ""faisons autre chose "" ""ok"" ""18"" ""26 26"" ""je sais pas"" ""bon d'accord"" ""alors ?"" ""ok"" ""on ne parle plus les dix derniers tours"" ""bonjour"" ""c'est pas bien de mentir !!"" ""la tu vas mettre quoi ?"" ""oui"" ""ok"" """" ""pour toi"" ""je met 18"" ""je dis banco"" ""tu mets quoi ?"" "":)"" ""bisous"" ""26 26 ?"" "":)"" ""j'ai mis 20"" ""met 27.4"" ""toi 18"" ""12"" ""allez cette fois je met 24"" ""ça te va ?"" ""ça peut être bien"" ""j'ai ripé sur le clavier"" ""ouais"" ""ah non"" ""je met 26"" ""tu mets combien ?"" ""ok"" ""je met 14"" ""aussi"" ""je savais pas qu'il fallait mettre le même nombre à la fin aussi"" ""faut mettre tout le temps 1 à la fin ?"" ""tu veux pas coopérer malgès ma \qtrahison\q ?"" ""0"" ""c'est bon t'as compris la stratégie ?"" ""oui"" ""24.5 tout les 2"" ""24.5/24.5 ?"" ""je met 18"" ""ok"" ""je test d'autres combinaisons en attendant"" ""ou on varie les plaisirs ?"" ""24/24 ?"" ""je met 18 toi 28"" ""je met 18 tu mets 28 ?"" ""tu veux tenter quoi ?"" ""on fais que des roulements comme ça"" ""si on fais tour par tour 18/28"" ""je met 28 au dernier"" """" ""pas équitable"" ""ok"" ""je met 24"" ""bonjour"" ""tu me suis ?"" ""faudrait faire un combinaison qui rapporte plus "" ""la même ?"" ""genre un coup je le fais et un coup tu le fais"" ""ok"" ""je met 28""",1,0,1,0,0,1,1,0
96,"""d'accord"" ""18.28"" ""oui"" ""non"" ""on va gagné plus"" ""d'accord"" ""d'accord"" ""CETTE FOIS TU CHOISI "" ""d'accord"" ""ok"" ""on reste 24"" ""on fait quoi cet foisq"" ""rappel moi"" ""les deux 24"" ""c'est quoi ton choix"" ""au même temps tu cherche cé tu trouve mieux dit moi"" ""OUI"" ""on fait 24 les deux"" ""ok"" ""moi 18 toi 28"" ""3"" ""14"" ""d'accord"" ""moi 14"" ""allez c'est quoi?"" ""et vous?"" ""cette fois 25 25"" ""et moi je te sui"" ""tu veux 25   25 "" ""on gagn un peut plus"" ""dit moi"" ""repond"" ""dit moi ton choix"" ""qui 25"" ""d'accord"" ""dit moi on fait quoi"" ""on reste 24"" ""MOI 20ET VOUS 22"" ""merci"" ""deacc 24"" ""les deux "" ""24"" ""3"" ""si on prend tous les deux 28 on a un gain de 41.27"" ""moi 18"" ""25.9"" ""les deux 24 ?"" ""ok"" ""les deux 25"" ""et après on echange "" ""ok"" ""ok"" ""choisi 28"" ""pas depb"" ""toi 28 "" ""on continue sur 24 ?"" ""?"" ""toi 24 moi 18"" ""ok ?"" ""oui"" ""ou 24 tous les deux cest mieux "" ""dis moi je te suis "" ""ok"" ""tous les deux 24"" ""ou sinon tous les deux 24"" ""non 28"" ""toi 14 ?"" ""20"" ""on reste comme ca jusqua la fin ?"" ""choisis 28"" ""no nprends 28"" ""on choisit tous les deux 28 ?"" ""et moi 18"" ""faut que tu me confirmes "" ""j'ai fait ca vu qeu tu mavais fait le coup avant "" ""mais la il faut quon maximise "" ""cest le max :)"" ""faut que tu choisisses un chiffre pour qu'on puisse maximiser nos 2 gains"" ""tous les deux 25.9"" ""cest la meilleure combinaison """,1,0,1,0,0,1,0,0
97,"""18"" ""toi"" ""28"" ""salut"" ""18"" ""ok"" ""pour moi et toi"" ""26"" ""dit un nombre"" ""18"" ""28"" ""quelle compte"" ""ok"" ""salut"" ""peut etre"" ""quelle nombre faut il ecrire"" ""bonjour"" ""23"" ""cest le plus avantajeux"" ""toi ou moi §"" ""28/28"" ""et toi"" ""ouia"" ""18"" ""28 toi et 28 moi"" ""quelle compte"" ""18"" ""je co,prend pqs co,,ent il ,qrche"" ""16/16 est vraiment la meilleure solution là"" ""le plus avantageux à long terme"" ""c'est dommage de jouer contre ça ne te serivra pas à chaque coup"" ""stl que comptes tu faire"" ""sinon on fait baisser les gais sans cesse"" ""ok"" ""pour moi"" ""gains"" ""ok"" ""bonjour"" ""ok"" ""appuyie sur terminer au moins^^"" ""salut"" ""les gains les plus élevés se situes dans la zone 26 pour toi"" ""28"" ""t'as intérêt à gagn à chaque coup, pas à faire perdre l'autre"" ""salut"" ""que comptes tu faire "" ""on a intérêt à équilibrer 28/28 je pense"" ""28"" ""28"" ""24/24"" ""ok"" ""lu"" ""l'idéal serait vraiment 28/28 mais comme personne ne tient son engagement..."" ""ok"" ""18 ok"" ""que comptes tu faire"" ""pronostic de ce qui nous avantage le plus?"" ""les deux c'est le plus équilibré""",1,0,1,0,0,1,0,0
98,"""environ 3 par semaines"" ""pendant 130 ans"" ""c'est pas trop dur l'évènementiel ?"" ""en 2 coup on obtient plus que les autres combinaisons et personne a besoin de se sacrifier"" ""on peut simuler avec les virgules pour trouver le meilleur"" ""quand on aime ce qu'on fait on trouve toujours l'énergie , c'est ca qui est important !"" ""ouai c'est vrai qu'il fait pas froid la !"" ""ok pour 25.7"" ""sympa ca , du coup tu dois avoir un sport en particulier à gerer non ?"" ""Si l'on se met tous les deux a 24 les gains sont de 41.70"" ""c'est un bon plan de secours ca !"" ""en fait 25.7 est la meilleure solution sur le long terme"" ""c'est plutot sympa !"" ""ah j'aurai plutot dit le contraire , vu que dans le centre c'est impossible de se garer ( sans payer ) "" ""Plus que 11 réponses et on est riche"" ""je trouve ca super long au contraire..."" ""et puis vers 11h,11h30 l'appetit arive très vite aussi"" ""Je connais pas, j'irais voir"" ""avant derniere !"" ""ca marche"" ""Courage alors "" ""aes et toi ?"" ""normalement on devrait gagn un peu plus de 12 plus les 5 fixe"" ""ah oui effectivement la c'est vital"" ""c'est bien ca permet de s'interesser à tout "" ""de rien on est en équipe !"" ""merci à toi :)"" ""la meilleure solution est 26 chacun "" ""je suis à l'isem en licence "" ""c'est déja ça !"" ""bientot la ferari"" ""il faut faire plusieurs expériences pour ça"" ""Ca rapporte legerement moins "" ""normalement vers moins le quart on a fini !"" ""oh oui , déja que 30 c'est pas mal "" ""c'est mission impossible "" ""cool c'est parti pour les sous !"" ""et c'est du basket/foot/boxe"" ""mois le quart c'est parfait, car il commence à faire chaud avec les ordis allumés"" ""si on met les même chiffres ont a les même gains"" ""ça demande pas mal d'énergie car c'est très incertain"" ""15ème décision sur 30, on a fait la moitié !"" ""oui, je dois déjeuner dans le tram en sortant d'ici, car je vais direct en cours après"" ""heureusement qu'il n'y a pas 100 décisions à prendre, car après le temps devient plus long"" ""25.7"" ""oui !!"" ""ok pour 24"" ""j'avoue !"" ""pour l'injstant"" ""par exemple j'organise UniDay, je gère la page fb"" ""oui !! mais on n'aura pas de Ferari de suite haha (merci)"" ""j'ai un sandwich dans mon sac pour ce midi, je pourais tricher si j'ai faim plus tôt "" ""ouais grave !"" ""ça te dit de rester sur 25,7 pendant plusieurs décisions ?"" ""oui et c'est la preuve que ça fonctionne !"" ""et avec des virgules ?"" ""bien joué, merci !"" ""si ça te dit on peux faire gain max un coup sur deux. "" ""mais je suis sur Nice est et je bosse dans l'événementiel, donc je bouge souvent"" ""c'esr clair, d'autant qu'à Nice c'est bien pratique, voire indispensable"" ""tout à fait ! et toi tu fais quoi ?"" ""oui exactement"" ""ça passe plus vite en discutant, alors merci bien :)"" ""on a chacun notre sport de prédilection, mais on bosse en groupe donc pas forcement"" ""mais j'adore ça, donc ça compense"" ""ah oui, ça fait un coup sur deux tours et ça rapporte moins au final"" ""effectivement je ne vais jamais dans le centre en voiture"" ""c'est quoi l'intitulé de ta licence ?"" ""on est à la 5ème sur 30"" ""je me contenterai de ma Peugeot en attendant alors"" ""M1 management du sport"" ""tout à fait d'accord avec ta dernière phrase ! une minute ça passe vite"" ""je suis en face à l'IAE""",1,1,0,1,0,0,0,1
99,"""pq t'as mis une virgule?"" ""quel choix?"" ""mets 26 je mets 26.2"" ""si tuy mets 28 la je mets18 et après on fait inverse"" ""comme ca on gagn tous les 2 sur de fois 68"" ""moi 26 et toi 22"" ""toujours 26 "" ""le tableau est symetrique on peut pas aller plus au qsue 41.91"" ""il est vachement compliqué le tableau"" ""a mon tour je mets 28 et toi 18"" ""alors que si on regarde bien on peut qgagné un une grosse somme et l'autre a peine moins"" ""26?"" ""quel choix?"" ""mais c pas tres drole!"" ""tous les 2"" ""donc la tu mets 28 et moi 18"" ""26"" ""et on change"" ""après"" ""ok"" ""la somme la plus grande est 68"" ""26?"" ""oui"" ""toi 24 et moi 26"" ""tous les 2?"" ""toi 28 et moi 26"" ""26*2"" ""moi 28 et toi 26"" ""je peux mettre 26.2  comme ca on est pareil"" ""toi 26 et moi 24"" ""on reste sur 26 les 4 dernieres"" ""ok 28"" ""c bon?"" ""met 16 plutot"" ""donc oui"" "":-)"" ""on mets tous les 2 24"" ""26?"" ""on continu sur 28?"" ""26"" ""20et20 ca fait 38 tous les 2"" ""et on chnage après"" ""c ce que je fais"" ""ok"" ""j'essayais de nous faire gagn un max a chacun a chaque etape"" ""26"" ""je suis sur qu'il y a un autre moyen je continu de reflechri et pour l'instant on continu sur 26"" ""parce qy'en fait on gagn exactement la même chose a chaque fois qu'en on fait en 2 tours"" ""oui mais "" ""mets 26 et moi je mets 22 et la prochaine on inverse"" ""26?"" ""c toujours le même resultats!!!"" ""c bon?"" ""si on met 10 tous les 2 on gagn peu"" ""c bon??"" ""OK on mets quoi?"" ""on fait toujours 26"" ""je sais pas"" ""10"" ""oui"" ""toi 28 moi 24"" ""fais ca"" ""OUI"" ""oui"" ""on reste encore sur 26?"" ""OUI c'est qui rapporte le plus au deux"" ""je me suis louper"" ""on inverse"" ""oui "" ""28 alors"" ""on mets quoi?"" ""toi 24 moi 28après on echange"" ""ok"" ""d'accord"" ""ok"" ""appuie sur terminer dialogue a chaque fois "" ""ok"" ""oui"" ""oui"" ""oui toujours"" ""oui 28"" ""ok"" ""oui"" ""OK"" ""20 tout les deux sa te va?"" ""faudrait plutot mettre 20 au moin on a le même gain"" ""appuie sur terminer dialogue sa va plus vite"" ""ok""",1,1,0,0,1,1,1,0
291,"""Si on met 25.5 tous les 2 on gagn un tout petit peu plus "" ""oui... "" ""Oui le mieux c'est le 26 à chaque fois je pense"" ""C'est pas gentil ça :'("" ""on va faire ça 28 fois alors ^^"" ""oui "" ""salut"" ""03"" ""alors que la ça fait 41,91 sur un donc 82  sur 2"" ""ok ;) "" ""l'un prend 68 l'autre 4 donc sur 2 coups ca derait 72"" ""J'ai vu ton message à la fin dsl mais ça rapporte moins "" ""pour gagn plus tu veux pas qu'on alterne 10 et 28 por avoir le gain max une fois sur 2"" ""juste pour me rattraper de la 1ere periode dsl"" ""oui"" ""donc on continu comme ça jusu'à la fin ^^"" ""c long^^"" ""il serai mieux qu'on joue la même chose non ?"" ""?"" ""salut"" ""???"" ""rapport sa sur 2 periode"" ""ouais t'as raison"" ""mdr^^"" ""ok"" ""hello ?"" ""non 68.22 fois 2 c plus que 41"" ""tu comprend mon raisonnement ?""",0,1,0,1,0,1,0,0
292,"""ok"" ""hi"" ""alors"" ""28"" ""28"" ""Bonjour"" ""ok"" ""bonjour"" ""bonjour"" ""ok"" ""ok"" ""quel"" ""10"" ""28"" ""28"" ""28"" ""bonjour"" ""ok"" ""hello :)"" ""bonjour"" ""bpnjour"" ""hi"" ""alors 28 ?"" ""28"" ""28 "" ""ok"" ""oui "" ""bonjour"" ""bonjour"" ""28"" ""28"" ""ah bon"" ""hello"" ""bonjour"" ""ok"" ""28"" ""26"" ""hello"" ""26"" ""ok"" ""ok"" ""bonjour"" ""hi"" ""ok"" ""mais non"" ""oui ,28"" ""28"" ""bonjour"" ""ok"" ""ok"" ""28"" ""24"" ""26?"" ""bonjour"" ""28"" ""ciao"" ""bonjour "" ""43?"" ""10"" ""combien?"" ""toujours 28?"" ""---;-----(@)"" ""pourquoi pas"" ""bonjour"" ""HhahahahaHAHA"" ""avez-vous compris ce qu'il faut faire?"" ""XD"" ""bonjour"" ""28?"" ""26"" ""ok 26"" ""ok 28"" ""10"" ""28"" ""vraiment*"" ""saluton"" "":D"" ""hi"" ""ok"" ""ok"" "":)"" ""28 ou 28 ?"" ""Bonjour"" ""c'est original"" ""ok 28"" ""ok"" ""14"" ""non"" ""combien?"" ""bonjour"" ""bonjour"" ""14"" ""gamarjobat"" ""c'est vriament le dernier ok 28"" ""bonjour"" ""et le dernier"" ""privet"" ""Bonjour"" ""bonjour"" ""good"" ""ok 26"" ""28"" ""bonjour"" ""combien?"" ""mdr"" ""ou 28?"" "":)))))"" ""10""",0,0,1,0,0,1,1,0
293,"""on reste à 26 ?"" ""nan mauvais choix"" ""22 c pas mal"" ""je cherche mais si y a rien 26"" ""si on met pas pareil on stop"" ""c'st ce que t'as dis !!"" ""tu m'as eu la"" ""tu prends combien"" ""si on prends tous les deux 10 ça nous fait 169 points "" ""tu vas encore changer tu m'as gavé"" ""t'as dis 24"" ""mets 22 ça fait 40.62 chacun"" ""débrouille toi tu e moque de moi"" ""ah ouais?"" ""qui commence?"" ""tout d\qpends si tu veux me la faire à l'envers encore"" ""bah ou c's ce que j'ai fais mais t'as mis 26"" ""cb?"" ""22"" ""26"" ""oui"" ""c'est bon"" ""on poura plus parler après si c'est pareil on reste à 26 ?"" ""vas y go pour 26"" ""ok go"" ""mets 26"" ""donc ok pour 26 ?"" ""je mets 12 et  toit 24?"" ""bah débrouille toi si tu veux pas être réglo"" ""si y a pas mieux"" ""regarde si tu trove mieux en mettant pareil pour nous deux"" ""on reste à 26 tous les deux"" ""je comprends pas ce que tu fais"" ""non regarde 26. 26"" ""ça fait 41.70"" ""ok"" ""sois on reste à 26"" ""au liueu de la jouer solo"" ""non 26 en fait"" ""pourquoi t'as mis 26"" ""on met 26 ensemble ou on bosse seul ?"" ""moi non plus je fais au pif"" ""attends regarde ce qui fait le plus de pts"" ""ok"" ""26"" ""moi"" ""ok je mets 16 et toi26"" ""ok"" ""et moi ?"" ""et 'as mis 12 t'as pas mis 26"" ""me suis trompé j'ai décalé"" ""pourquoi t'as pris 10"" ""pourquoi faire ça fait moins"" ""donc c'est mort on est seuls maintenant."" ""26"" ""c'est mort"" ""serieusement 16 ?"" ""j'ai pas trouvé mieux pour être égal"" ""non ça me fait 4.87"" ""sur ? "" ""tu te moque de moi"" ""je te l'ai dis c'était marqué"" ""tu choisis combien?"" ""si"" ""sois on cherche mieux mais sinon je propose quon garde 26"" ""c pareil"" ""si y a rien on reste à 2"" ""pr\qéviens avant "" ""bon faut se décider"" ""on alterne ou on revient à un truc égal?"" ""sinon tu mets 26"" ""essaye 28"" ""non"" ""tu mets 26 ?"" ""mets 26 et je mets 12"" ""je pensais quon faisait 26 - 26"" ""ok"" ""je pense que c'est encore mieux"" ""OK"" ""oui je voulais te le dire tout a lheure"" ""ok"" ""quand je mets 24 tu mets 12"" ""ensuite on inverse"" ""et qpres on inverse"" ""ok"" ""tu crois pas ?"" ""bah oui car j'ai pensé que t'allais changer"" ""tu crois pas ?"" ""ok"" ""soit ?"" ""?"" ""car j'ai pensé que tu triche"" ""alors pourquoi tout a lheure t'as dis 22 ?"" ""pourquoi tu m'as pas dis avant la fin que tu allais mettre 26 ?"" ""bon on mets quoi ?"" ""oui 26 26"" ""je chercher encore le mieux"" ""merde"" ""tu m'as rien dis"" ""mais non"" ""alors on mets 22 tout le temps ?"" ""haha ok"" ""sur §"" ""mais j'ai pas compris"" ""on a 68 chacun"" ""maintenant je mets 26 toi 12"" ""quand je mets 12 tu mets 24"" ""26-26 ?"" ""t'as mis quoi "" ""serieusement on mets quoi maintenant ?"" ""26-16"" ""maintenant tu dois prendre 28"" ""non 10"" ""mais pourquoi t'as mis 16 ?!!"" ""haha"" ""je crois"" ""mettons 26"" ""28"" ""!"" ""pas dautre strategie ?"" ""dis le maintenant"" ""du coup je ne te suis plus"" ""alors j'ai rien compris XD"" ""j'ai rien compris !"" ""on devrait mettre 12-24"" ""26-26 ?"" ""jessaye une strategie et t'es pas content"" ""tu pense pas ?"" ""mets pourquoi tu dis pas avant la fin"" ""ok"" ""nets 16"" ""c'est nul"" ""d'accord §"" ""28"" ""mdr je crois qu'on fait nimporte quoi"" ""mais non !!!!"" ""toujours 26 ?"" ""pareil"" ""pas a la derniere minutes"" ""26-26 ou pas ?"" ""je pense que c'est mieux 24 24 en fait"" ""tu m'as trop soulé"" ""ouiii"" ""mais j'ai pas eu le temps"" ""et moi 12"" ""c'est la meilleur solution si on qlterne"" ""maintenant tu dois mettre 24"" ""tu m'embrouille"" ""oui"" ""pff"" ""oui"" ""maintenant je mets 26"" ""et la fois daprès 24-12"" ""ok"" ""je crois que si je mets 10 et toi 28"" ""c'est 26 ou 22 ?"" ""tu mets quoi """,0,0,1,0,0,1,1,0
294,"""pareil encore"" ""oui"" ""la deuxieme etape si cest le même exo on fait la même chose"" ""ok"" ""pareil hein"" ""toi 28 moi10"" ""s'il tu plaît met 26"" ""il ne reste que deux jespere quon jouera bien dans la seconde partie"" ""les deux 26"" ""ok"" ""oui oui"" ""oui"" ""maintenant on fait le contraire"" ""ok"" ""oui"" ""ok.ca marche"" ""ah oui"" ""merci"" ""la seconde etape si cest le même exo.on continue avec 26-26"" ""oui"" ""exactement dans la même lancee"" ""toujours la même procedure"" ""au revoir et bonne continuation"" ""oui pour toi"" ""pour le debut est mieux"" ""ok je mets &à"" ""vu que dqns lq deuxieme etape on ne peut pas comuniquer on continue é_ é_?"" ""comme d,habitude?"" ""desolé"" ""2828?"" ""28 28"" ""ok ca marche"" ""je mets &à tu mets é_"" ""ok"" ""10"" ""a toi egalement bonne journée"" ""le clavier tape ce qu'il vaut"" ""avec 26 ou 28"" ""ok merci"" ""de nouveau pareil?"" ""on met le même montant?"" ""aussi 26 les deux"" ""oui"" ""on est bien d'accord"" ""ok"" ""10"" ""parfait"" ""jusqu'a la fin?"" ""je mets 28?"" ""merci"" ""alors"" ""2626"" ""oui"" ""je mets 26 alors"" ""é_ et é_ c'est mieux"" ""oui"" ""je mets 10 tu 28"" ""regarde""",0,1,0,1,0,1,1,0
295,"""Fais ce que je te dis pour gagn des points"" ""On gagn le plus de point"" ""Ca marche"" ""On refait la même chose"" ""POurquoi t'as mis 3 ?"" ""d'accord"" ""J'ecris 10 et toi 28 "" ""pareil ?"" ""J'ecris 28 et toi 10 "" ""Que faire ?"" ""Ok"" ""Ok"" ""Il faut qu'on mette tous les 2 25"" ""Pour gagn du temps, à chaque fois on met terminer dialogue et on rentre notre chiffre"" ""J'ai pas pu écrire tout à l'heure"" ""On met maintenant 25.7 jusqu'à la fin""",0,1,0,1,0,0,1,0
