any_suggestion,suggest_safe,suggest_efficient,agree_proposal,discuss_coordinate,discuss_fairness,discuss_efficient,discuss_rules,explanation,discuss_howtoplay,ask_game,receive_report,truthful,falsehood,contradict,neither_report,original_message,row_id
1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,"1; y luego en el juego 2 / 1; te vendra mejor a ti 4 y 4 / 1; miralo / 1; pero si no te fias / 1; ponemos 3 y 3 / 1; okey / 2; Mejor 3 y 3 / 2; Aqui nos favorece jugar a mi favor / 2; seria 1 y 1 / 0; okay / 0; o q beneficie aalguien? / 2; 3,3? / 1; ajaja / 1; me estais rallando / 0; lo q digais / 2; quieres 3,3 / 1; 2 / 1; c2 f2?",7
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2; fila 2 / 1; ya queda menosssss / 0; perdooooon / 1; habiamos dicho 2 y 2,0
1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1; tiene que ser el que aprezca en pantalla? / 0; nooo / 2; sí / 2; el no sabe que juego es / 2; pero al final le dicen que es ese / 0; a mi me sale una cosa que dice prueba varias posibilidades / 1; lo que veas..... / 2; yo lo veo guay / 2; q son 8 ptos cuando llevas 1000000000000000000 / 1; f5 y c5 / 2; j 5 / 1; al fin jajaj / 2; tirali jajajja / 0; va q solo queda 1 / 1; y a casa / 1; que hora es?,4
1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,"1; f3 / 2; pero son 54 y 26 / 2; que es lo mismo si elegimos 40 / 2; son 80 / 2; decidamos / 1; ha habido un momento que yo he ganado 50 y tu 26 y luego te ha tocado lo mismo y has cogido tu 50 y yo 26 tb / 1; lo que quieras / 2; vale / 2; el a se estara aburriendo maximo / 2; jajajaja / 1; jajajaj ademas de verdad / 1; pero y lo que va a ganar? / 1; no 3 como tu antes / 2; c1 y f1 / 1; yo creo que f3 / 2; claro , o ganas tu más o ganamos igual XD / 1; cuando toque juego 1 ponemos f1 y c1 y compensa / 2; pero no sabes cuando va a salir / 2; esa esa / 2; ganamos todos / 2; el A mas / 0; c3 f3 / 1; vale / 1; sii esa / 1; C3 F3 / 1; lo he mirado ahora / 1; c3 f3? / 1; pero lo que quieras / 0; c2 f2 / 1; me da igual / 2; vale va / 2; pues esa / 1; va / 2; que asi comenso un poco / 2; que en la ronda una tengo 8 puntos y 10 / 1; valee / 2; que vais a escoger",8
1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,"2; qué mal xd / 2; c3 y f3? / 1; jaja esque el A se nos desmadra / 1; f5 / 2; c3 y f3 ganamos mas / 1; vañe / 1; vale* / 2; ok / 1; vamos bien, no? / 2; si jajaj / 2; es mejor el c2 f2 / 1; c3-f3 / 2; para ambos / 2; vale c3 f3 / 1; f3-c3 / 1; son 32 / 2; no sabia a cual le ibas a dar / 1; en el bloque c5f5 de cualquier juego gano yo y en ese mismo juego, en c1-f1 ganas tu / 2; se / 2; iguales? / 1; perfecto / 1; peroq / 1; que sentido tiene / 1; juego 3 empate / 1; f3 c3 / 1; juego cuatro f4c4 gano yo / 1; juego cinco f5c5 gano yo / 1; f3 c3 buen / 1; el A ganas mucho / 1; o cual? / 2; esa / 1; el A se foora / 1; forra / 2; de 50 -30-80 y al reves / 2; encima el A gana un poco mas tambn / 1; ya / 2; la siguiente tu o yo depende / 1; pero si hay de iguales siempre renta tb / 2; c3 f3 / 1; el juego es el 3 / 2; filas4 / 2; no / 1; columna 4 fila 4 / 2; fila 3 / 0; 3 / 0; fila 3 / 2; c / 2; columna 3 / 0; si",11
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,"1; le vamos a quitar a A? / 2; si le quitamos a A / 2; tambien perdemos nosotros jajaj / 1; ya.. / 1; que ponemos? / 2; c2 f2 o c3 f3? / 1; y xq no c4, f4? / 2; c3f3 / 2; se acaba ek tiempo xd / 2; no?* / 1; sii, son 32, no esta mal / 1; si vemos que en alguna de c3-f3 la cantidad es peque, podemos mirar otra cosa / 2; en verdad te la puedo jugar y elegir otra / 2; o tu / 2; jaajja / 1; solo nos llevamos 6 puntos de diferencia entre nosotros / 1; ya ves / 1; gana si quieres esta tu mas me da igual / 1; jajajaj pero diii / 2; vale / 2; c1f1 / 1; oki / 1; me llevas unos 20 puntos más tu / 1; en esta podemos ir igual / 2; vale / 2; pero de que juego de los 5 ? / 1; el 4 / 1; han selecccionado ellos / 1; lo pone arriba / 2; okey / 2; es verdad / 2; Hola / 2; o c3 f3 ? / 1; f5c5 / 1; que acabamos de hacer f1c1 / 2; asi ganamos lo mismo , realmente la idea es llevarnos el máximo de dinero / 1; f3c3? / 2; okey / 1; a ver yo lo que digo es que si en lugar de llevarnos 30 y 30 dos veces que son 60 te llevas en una ronda 26 y otra 54 al final suman mas / 2; interesante .... / 1; aunque en la anterior hayas tenido que sacar 3 o 6 menos porque la otra persona saca 10 veces mas / 2; si , tienes razón sr. F / 1; esa es mi teoría.. / 1; dome / 2; habia una de 80-26.80 / 2; pero luego gano un poco mas yo / 1; c3 f3 / 1; ganampos 36 los dos / 1; mejor / 2; a ver por 3 puntos / 2; me da iguyal / 2; sabes / 0; c3 y f3 entonces / 2; c4 c4 si quieres / 0; uy / 0; se acaba / 0; jajajajajajaja / 1; cuales son mejor / 1; adelantando / 2; no me acuerdo pero siempre pomgo / 2; c2 c2 / 0; 42464 / 0; i la 3-3? / 1; el juego es el 1 / 1; 4-4? / 0; 2 2 / 2; 42432 / 1; 42432 / 0; vale / 1; el juego es el 5 / 1; 4-4? / 2; 42432 / 0; yo creo que 3-3 / 1; okay / 0; y 5-5? / 0; y luego ponemos una en la que el c gane mas",13
1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1; por eso eres C / 0; ahi si que me corrompo / 1; jaja / 0; jajajajajajaja / 0; exacto / 0; jajajajajaja / 2; jajjjajjaja / 0; pos si suertee / 2; mas money / 2; 3 / 2; 3 3 / 1; 3 3?,1
1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,"2; un momento xd / 1; que crees que tiene que hacer A? / 1; dime / 2; no se ni si existe xd / 2; c2 f2? / 1; yo pienso igual jajajajaj / 1; no, asi tu ganas mas / 2; tu ganas 3 menos y yo 11 más xd / 2; A otra ronda lo arreglamos al reves / 2; e igual ganamos mas jajaj / 1; no se yo si fiarme.. / 2; que si que si jajaj / 1; ok / 2; lo que digas / 2; ok? / 1; mismo / 2; va / 1; pero luego quiero mi parte / 1; jajaja / 2; c2f2 / 2; si jajaj / 2; a ver, si en esta por ejemplo gano yo mas y en la siguiente tu / 2; salimos ganando los dos / 1; pero es que en la primera has ganado tu mas que yo / 1; me deberia de tocar a mi ganar mas / 2; pues gana mas tu ahora / 2; y yo en la siguiente / 2; que lioteeee / 2; jajajajajaja / 1; totaaaal / 2; jajajaja / 1; esto es muy complicado :( / 1; jajajajajaj / 1; jajajaj a lo mismo? / 2; okey , yo c3 / 1; ok / 2; c3 / 1; cojo f5 / 2; y f3 / 2; f5? / 1; si / 2; entonces yo gano mucho menos / 1; es que ahi hay bastante diferencia en mi color / 2; c3 y f3 y ganamos lo mismo / 2; para ganar o perder más / 1; pero si yo elijo una fila / 1; te llevas menos / 1; aunque yo tb / 1; f2c2 / 2; Hello otra vez / 2; okey / 1; ultima ronda / 2; sip , un placer / 2; hasta la próxima sr. F / 1; igualmente sr C! / 2; portate bien A / 2; que filas vas a elegir? / 2; y columna / 2; noo / 1; 5 5 / 0; c 2 f2 / 1; si / 0; perfecto / 2; a la larga asi ganamos pero con q la caguemos una ya no / 1; vale ahora lo miramos bien / 1; todo / 2; okey / 2; c3 c3 / 2; esa es clave / 2; 40-40-80 / 1; vale va / 1; ese / 2; c2 c2 o c1 c1 la que quieras / 0; y en la proxima el maximo para c / 1; no el 4 4 / 1; es mas equitativo / 1; para C / 1; son solo 3 puntos para mi / 1; 10 para C / 1; juego 2 / 0; 2-2? / 1; 2-2? / 2; vale / 0; yo diria que si que es la misma puntuación que la anterior pero al reves la c y la f / 2; sii / 1; el A es el que gana siempre",17
1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,"2; ya ?? / 0; igual hay mas / 1; supongo.... / 2; eso q no llevo reloj jajajaj / 1; mismo de antes / 1; jaja / 2; vavava ultima ronda / 1; o f4c3 / 2; f3c3 mejor no? / 1; esq todo el rato a lo seguro... / 0; yo lo digo por vosotros para que subáis / 2; nos llevamos lo maximo / 1; vale / 2; esque está montado para que A gane siempre más / 0; es para que por ejemplo en esta ronda se beneficie C y en la otra F / 1; si tio :C / 2; y luego entre C y F lo máximo es que estemos equilibrados, porque si no gana F / 0; Entonces cual cojo??? / 2; yo nunca gano / 2; jajajaja / 0; decirmeee / 2; por mi f3c3 y te forras :P / 0; Me sabe mal / 1; coge f1c1 y en la siguiente salgo ganando yo / 2; y C y F estamos equilibrados / 1; vale?=",5
1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,"2; la ultima xd / 1; pff / 1; que hacemos / 2; c3 f3? ni para ti ni para mi xd / 2; o que propones? / 1; c3 f4 jajaja / 1; que yo llevo menos / 2; no tio / 2; o tia xd / 2; llevo yo menos / 1; en total? / 1; yo creo que no / 2; yo diria que si / 1; que tu antes has ganado 15 mas que yo / 2; va c3 f3 / 1; y al principio tambien / 2; por que en la primera has elegido esa? / 1; no pillaba el juego / 2; grande jajaja / 2; claro / 1; no, en esta no / 1; las rentables son las de 50 jajaja / 2; pero mira, el la ronda dos y tres yo he ganado 71 y si hieramos dado las dos veces a 36 serian 72 / 1; lo se / 2; c4 / 1; o / 1; fila 5 / 1; para ti son 3 menos / 1; que la otra combinacion / 1; f5 c5? / 2; pero tu ganas mucho más , / 2; okey / 1; eso a ti no te resta / 1; ahora f3 / 1; aunque ojalá ser A / 1; nos duplica siempre jajajajaj / 2; si , quién se supone que es A ? / 2; otra persona que no hace nada durante toda la sesión? / 1; una persona que no hace nada / 2; XD / 1; exacto / 2; q estamos viendo / 1; c5 f5 / 2; c1 f2 / 1; y la proxima tu mas / 2; vale / 2; pero no dejamos a uno / 2; con menos de 30 / 2; vale? / 2; nono / 2; c1 c1 o c2 c2 / 2; q ganas un poco menos / 2; y luego comepnsa / 1; un poquito mejor / 2; y la proxima para la f / 0; vale / 1; perfecto / 0; 2-2 entonces? / 1; sii / 2; mas igual / 1; juego 2 / 0; 42464 / 1; 4-4? / 1; vale / 0; yo diria que si / 2; o 3-3",15
