any_suggestion,suggest_safe ,suggest_efficient,agree_proposal,discuss_coordinte,discuss_fairness,discuss_efficient,discuss_rules,explanation,discuss_howtoplay,ask_game,receive_report,truthful,falsehood,contradict,neither_report,original_messages
1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0,0,0,0,1,"f3/pero son 54 y 26/que es lo mismo si elegimos 40/son 80/decidamos/ha habido un momento que yo he ganado 50 y tu 26 y luego te ha tocado lo mismo y has cogido tu 50 y yo 26 tb/lo que quieras/vale/el a se estara aburriendo maximo/jajajaja/jajajaj ademas de verdad/pero y lo que va a ganar?/no 3 como tu antes/c1 y f1/yo creo que f3/claro , o ganas tu más o ganamos igual XD/cuando toque juego 1 ponemos f1 y c1 y compensa/pero no sabes cuando va a salir/esa esa/ganamos todos/el A mas/c3 f3/vale/sii esa/C3 F3/lo he mirado ahora/c3 f3?/pero lo que quieras/c2 f2/me da igual/vale va/pues esa/va/que asi comenso un poco/que en la ronda una tengo 8 puntos y 10/valee/que vais a escoger"
1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,1.0,0.5,1.0,1,0,1,0,0,"HOLA/hola/z/Y TU?/c2/bien?/perfecto/hoola/el bloque 1/hola/c1?/c4f4/entonces gano yo ahora 50?/?/correee/la siguiente/mira/fijate/yaa/ahora si, ve a por el de 50/peeerf/se pensaban que habíamos hecho trampas jaja que susto tú/que?/eeeh/ya lo he pillado/jajaj que pasa?/tenemos que coger el que sume 80 siempre/o si no sale/quedan 7 rondas/antes has ganado tu , ahora quiero ganar yo/no querias ganar?/c3 y f3/f3 c3?/perfecto/esa esa/asi asi juego en equipo/buah te vas a forrar A/vale va c3 f3 sui no hay mejor/por eso/cual/por 3 puntos me da igual/c4 c4/c4 f4 entonces/4 4/columna 4 fila 4/yo solo tengo tres filas/que juego vas a escoger?/4/el juego es el 4 por defecto/vale/la columna 4 y la fila 4 es el que mas nos beneficia/que vais a marcar?/el juego es el 2"
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0,0,0,"di tu primero/c1/f1/vale bien/mejor la f5/ya estaba decidido jajaj/si/f3/ganas mas con el f1/c3-f2 esta bien/uuuf/que miedo/jajajajja/en el bloque c5/ajajaja/por?/un poco tarde ya/porque es la suma mas alta/entonces que/ahora ya no, no?/me da uq eno/iguales?/okey , estamos deacuerdo/menosmal :P/c1/f1/mira tengo una teoria/iluminame/en el juego 1 f1 c1 ganas tu/juego dos f2 c2 ganas mas tu/jajaja/BUENA/bien jugada/vamos/sigamos/pues esa/por ahira c3 f3/si/leugo hacemos una/esque hacer eso compensa si luego lo hacemos al reves/si/vale pues ya estmos iguales/tenemos q ir haciendo eso q se va turnando/columna4 fila 4/valeç/siempre lo mismo?/no/mira las variantes/hay que ver que nos sume el maximo de puntos a cada uno/para poder tener mas ganancias/vale ya lo entiendo/en las casillas que haya negativo no le des/porque nos afecta y perdemos dinero/el juego es el 5/fila 4/columna 4 fila 4/si/si/ganamos todos"
1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,1,1,0,0,0,"qué mal xd/c3 y f3?/jaja esque el A se nos desmadra/f5/c3 y f3 ganamos mas/vañe/vale*/ok/vamos bien, no?/si jajaj/es mejor el c2 f2/c3-f3/para ambos/vale c3 f3/f3-c3/son 32/no sabia a cual le ibas a dar/en el bloque c5f5 de cualquier juego gano yo y en ese mismo juego, en c1-f1 ganas tu/se/iguales?/perfecto/peroq/que sentido tiene/juego 3 empate/f3 c3/juego cuatro f4c4 gano yo/juego cinco f5c5 gano yo/f3 c3 buen/el A ganas mucho/o cual?/esa/el A se foora/forra/de 50 -30-80 y al reves/encima el A gana un poco mas tambn/ya/la siguiente tu o yo depende/pero si hay de iguales siempre renta tb/c3 f3/el juego es el 3/filas4/no/columna 4 fila 4/fila 3/3/fila 3/c/columna 3/si"
1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.0,1.0,1,1,0,0,0,"como antes? c3 f3?/me parece bien/el F siempre recibe menos/o sino cual?/recibimos lo mismo en esta/ya, ya/32 cad uno/que antes he perdido 18 xd/jajajajajaja porq estabais despuntando/sii/para ambos/c3-f3 jajajaja siempre el mismo pero son 40/lo mismo/miralo/a ver si lo entiendes/c5f5? ganas otra vez mas/el que?/tener que ganar 80? si esos 80 no van para ti/ya, pero es como mas ganas/y si nos turnabamos/no?/no se, da igual, ya se ha acabado/jajaja/jajaja pues eso/cuanto habremos ganado?/poquito/ajajajajaja oke/okey/aceptamos barco/y es lo mismo solo dependemos del azar de las rondas que sangan/salgan/por mi esa/f3 c3/pues esa/defnitiva f3 c3/probemos mas por si acaso/vale/vale?/cual/el que me digais/spera/f2 c2?/no/espera/c3 f3/jajajaja/ole jajaj/vale/jajajjajaj/ya me lo se hasta de memoria/este si renta/si/fila 3 columna3/el juego es el 5/que juego es/4 4?/columna 5 fila 5/fila 2 c 2/la 5-5/el 2 2 es menos puntos/5-5 o 4-4"
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0,0,0,0,1,"di fila jaja/bua no se/columna?/c3 f3?/otra vez xd/vale/aunque a la siguiente hay que quitarle al A/jajaja sii/igual hay un truco/seguramente/lo único que quien sea A, se lleva nuestra suma/ya, la goza/jajaja/y no hace nada/totalmente jajajaj c3-f3 siempre va a ser la misma cantidad/seguimos igual n?/mira el juego tres, mira f5-c5 y mira f1-c1/es el mismo dineor lo que pasa que una vez gana uno y otra otro, entiendes?/pero que sino gana esta tu mas/y vamos todas a lo mismo/entonces que propones?/lo que digas/por 0.02 ujajajaj/pues vaya/Hola/hola/Que vas a seleccionar ?/te parece bien f3/y c3/ganamos lo maximo/si/en cualquier caso , compensamos/si a eso me referia antes/f5c5?/okey/pero sino esa/a ver podemos pillar/venga/escucharme/f/va/podemos hacer una cosa/si/nos turmamos/porque anbtes/c4 c4/ganas tu mas/pero luego yo va/vale?/no hay ninguno que ggganemos igual?/c4 c4 mejor y au/este renta/nos sobra tiempo/esque es la q mas ganamos todos/si/jjajajajaja/vpy a ver/la proxima a ver como esta el tema/en los demas/42464/porque siempre me toca a mi menos/asi se iguala mas/mejor/vale"
1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,1,1,0,0,0,"le vamos a quitar a A?/si le quitamos a A/tambien perdemos nosotros jajaj/ya../que ponemos?/c2 f2 o c3 f3?/y xq no c4, f4?/c3f3/se acaba ek tiempo xd/no?*/sii, son 32, no esta mal/si vemos que en alguna de c3-f3 la cantidad es peque, podemos mirar otra cosa/en verdad te la puedo jugar y elegir otra/o tu/jaajja/solo nos llevamos 6 puntos de diferencia entre nosotros/ya ves/gana si quieres esta tu mas me da igual/jajajaj pero diii/vale/c1f1/oki/me llevas unos 20 puntos más tu/en esta podemos ir igual/vale/pero de que juego de los 5 ?/el 4/han selecccionado ellos/lo pone arriba/okey/es verdad/Hola/o c3 f3 ?/f5c5/que acabamos de hacer f1c1/asi ganamos lo mismo , realmente la idea es llevarnos el máximo de dinero/f3c3?/okey/a ver yo lo que digo es que si en lugar de llevarnos 30 y 30 dos veces que son 60 te llevas en una ronda 26 y otra 54 al final suman mas/interesante ..../aunque en la anterior hayas tenido que sacar 3 o 6 menos porque la otra persona saca 10 veces mas/si , tienes razón sr. F/esa es mi teoría../dome/habia una de 80-26.80/pero luego gano un poco mas yo/c3 f3/ganampos 36 los dos/mejor/a ver por 3 puntos/me da iguyal/sabes/c3 y f3 entonces/c4 c4 si quieres/uy/se acaba/jajajajajajaja/cuales son mejor/adelantando/no me acuerdo pero siempre pomgo/c2 c2/42464/i la 3-3?/el juego es el 1/4-4?/2 2/42432/42432/vale/el juego es el 5/4-4?/42432/yo creo que 3-3/okay/y 5-5?/y luego ponemos una en la que el c gane mas"
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0,0,0,"c2 f2?/que antes he ganado menos que tu jajaj/como?/c3 f2?/antes yo he ganado 18 y tu 29/f2 c2 ganamos mas que c3 f2/vale/f2 c2 entonces? jajaj/jajajajajaj no lo hagassss/jajajaja/la ultima lo hacemos/okay/32-32, porque mi maximo aqqui son 38, asique da igual/porque a ti no te sale rentable/hola/hacemos c2/fila f2 ?/y ganamos los 2 lo máximo?/fila 4 yo gano mas/hola/hola/fila 4/sr c jajajaja/f1 c1/f1c1/esto es pura suerte y probabilidad , si ya tenemos una estrategia de juego/depende lo que salga/exacto/ya tenemos los resultados/pillamos cada vez uno 70 puntos/yo la que me digais/vale/va/cual/espera/bueno pues esa/c2 c2/?/y luego ganas mas tu lo q veas/te dan 33/vale/no esta mal/pues ese y luego al reves/si es el 2/si es el 4/c4 c4/mas o menos asi/c3 f3/?/el juego es el 2/2-2?/3-3?/y si ponemos uno que gane mucho la f y luego en la siguiente que gane3 el c?/podemos probar la tactica/vale pero queda ests y otra/probamos?/poned/11/42370/no/vale/42402"
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0,0,0,0,1,"la ultima xd/pff/que hacemos/c3 f3? ni para ti ni para mi xd/o que propones?/c3 f4 jajaja/que yo llevo menos/no tio/o tia xd/llevo yo menos/en total?/yo creo que no/yo diria que si/que tu antes has ganado 15 mas que yo/va c3 f3/y al principio tambien/por que en la primera has elegido esa?/no pillaba el juego/grande jajaja/claro/no, en esta no/las rentables son las de 50 jajaja/pero mira, el la ronda dos y tres yo he ganado 71 y si hieramos dado las dos veces a 36 serian 72/lo se/c4/o/fila 5/para ti son 3 menos/que la otra combinacion/f5 c5?/pero tu ganas mucho más ,/okey/eso a ti no te resta/ahora f3/aunque ojalá ser A/nos duplica siempre jajajajaj/si , quién se supone que es A ?/otra persona que no hace nada durante toda la sesión?/una persona que no hace nada/XD/exacto/q estamos viendo/c5 f5/c1 f2/y la proxima tu mas/vale/pero no dejamos a uno/con menos de 30/vale?/nono/c1 c1 o c2 c2/q ganas un poco menos/y luego comepnsa/un poquito mejor/y la proxima para la f/vale/perfecto/2-2 entonces?/sii/mas igual/juego 2/42464/4-4?/vale/yo diria que si/o 3-3"
1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.0,0,0,0,0,1,"hola/hola/c3 f3?/bien/los hacemos de forma que ganemos siempre lo mismo nosotros?/me parece lo más sensato jajaja/Genial/jaja sorry/te parecen bien 32?/no me he dado cuenta/que lioooo/y ganamos igual/con c3/okey/y tú ganas más que si cojo f4 o 5/tu vas a poner f3 no?/sii/y se lleva más que nosotros todo el rato ..../y se lleva el doble que nosotros que estamos aquí calentandonos la cabeza/es qu para que A pierda , tenemos que perder nosotros también/c1 y f1/f1c1/A se va a llevar un sobre con un fajo de billetes XD/jajajaja/ya ves/a la proxima me pido A/realmente lo peor es C/porque depende de F bastante/por?/los 2 dependemos de ambos/o cual/valre/cual/se acaba/asi sale rentable/vale/si no no sale/c2 c2?/es x 3 puntos/lo que he hecho antes/pon la f/vale/que el A se va a liar jajaja/pero es el que mas a la f/vale/es que la diferencia 3 3 es mas grande../cual entonces?/4 4/vale/juego 4/42464/fila 3 - columna 3/?/para que este mas igual/yo pondria 4-4/si/y en la siguiente damos mas puntos al c/y hacemos lo de abtes/antes*/en al 5-5 es donde mas puntos gana f/si/ponemos esa?/vale"
