is_promise,is_efficiency,is_ethics,uninformative,original_message,row_id
1,0,0,0,i will roll the dice for you :),1
1,0,0,0,I will always choose ROLL,16
1,1,0,0,"Hi, so here's the catch. From a probabilistic point of view best option would be A choses IN and B chooses ROLL, since there's a high chance of getting high payback on both sides. Therefore just know I'll always put ROLL. It's up to you if you wanna take the risk. Best.",18
1,1,0,0,"I will always chose Roll, so I hope you will always chose In ;) Then we can both make a good load of money :)",12
1,1,0,0,"hey :-) i guess it would be best for the both of us, if you would always chose IN so  when I always chose Roll the chance of us becoming more then only the 15 CHF are highes. Despite your descision I will always chose Roll. Promise! ",14
1,1,0,0,In and Roll. Best for both of us.,2
1,1,0,0,"Hey! It would be best if you always decide for IN and I always decide for ROLL, this would mean a very high chance that both of us earn a lot of money :)",17
1,1,0,0,"Hi there, I will press ROLL if you press IN. This will give you a 83% chance of winning 36 CHF instead of just 15 CHF and it will give me 30 CHF instead of just 15CHF, Thanks :)",11
1,1,0,0,hi... i think it's best to choose in and then roll... i promise you not to choose don't roll! lets do that in all 10 decisions. its best for you and me ;),15
1,1,0,0,"Hi !! Go for ""IN"" ALL THE 10 TIMES. Then we can Roll and have a chance to win more. MUCH MORE and MUCH BETTER CHANCE. Thanks and All the Best.",10
1,1,0,0,"Dear Partner A, I can't do more than honestly promise you that i'll press ROLL in every of the 10 decisions. In that way we can get the most out of this for the two of us. For this to work you should go for IN, so let's do this together. Have a nice day and best wishes, your Partner B",13
1,1,0,0,"Hi! Please choose IN, I'll choose ROLL and let's hope on the chance :)",0
1,1,0,0,Be free to choose IN. I promise I'll never choose don't roll to make sure that we both earn more money.,8
1,1,0,0,"Hi Person A! If you choose IN i promise you i will choose ROLL and not DON'T ROLL. Try to do this as often as possible, so the chances that the dice will roll 1 is little and we both earn a little more than 15 CHF ",21
0,0,0,1,hi. good luck. ,26
1,1,0,0,"Hello, lets go for rolling the dice. For me, I would like to get more than 15 CHF. For you the chance is big that you will get 36 francs if we roll. You can trust me on rolling. I dont really care about the additional extra 12 francs. But 15 francs is a little bit small to spend one hour on. Damn, this keyboard sucks. Haha. Ok, hope you pick IN.",6
1,1,0,0,i'm going to press ROLL. So there are chances that we both get more money than 15 francs.,23
1,1,0,0,"Hi! I suggest we go for the last option - you go ""IN"" and I will go with ""ROLL"" for all decisions. That way we have the best chance for both of us to get some good money. Good luck! :)  ",27
1,1,0,0,"Hi. I think it makes more sense for both of us to choose ROLL at all times. in this case, you will get 36chf with 5/6 probability or 0 with 1/6 probability. I will get 30 chf. This is the case if you choose IN and you believe that I will choose ROLL. ",5
1,1,0,0,"I promise I will choose ROLL, so that we both will earn more money. By that I will earn  show up fee+30CH which is totally ok with me. You have high chance to win 36+show up fee.",4
1,0,0,0,i will chose roll (2-6) ,25
1,1,0,0,"Always choose IN, and I will go for ROLL so we both can win more than 15 CHF ",22
1,1,0,0,"Hey, This is our stretegy for a win win solution. You always choose IN and always choose ROLL.This way I get 30 and you based on probabilty will get between 27 and 36. because the chances of 1 is very low in these ten decisions. So, lets do it. I assure you be happy at the end.",3
1,1,0,0,"Hey, I think it would be rather boring to just always get 15. Right? Plus if you choose IN, you have a 2/3 chance of getting more than double the 15. I promise (weird to promise to a computer) to always pick ROLL, just a heads up :D",28
1,1,0,0,"hey, you should always choose IN and i will always choose Roll so in that way, we will have more chances of receiving more money.",33
1,1,0,0,"I think our best chance is if you choose IN, then I will always choose ROLL. It's then more probable  we get 2-6 so we make the most money each. Ballin' ",30
1,1,1,0,"I know for sure I will earn 15 each round at least, I want to double the earnings and that is reasonably fair earning for me.I  will cooperate and I don't care about earning 12 more CHF than I could by cooperating",20
1,1,1,0,"I will always choose ROLL. That way we both will maximize our earnings if you always choose IN. I will be paid always 30CHF and you will be paid 36CHF 83% possibility (5 out of 6 numbers of the dice), which is equivaltent to 30CHF.",9
1,1,0,0,"If A always chooses in and B always chooses ROLL, there is a large possibility for both  A and B to get at least  30CHF for this part.",7
1,1,0,0,I case you choose IN - I'll always choose ROLL. Since it's more money for both of us.,34
1,1,0,0,if you chose IN I will chose ROLL so you could earn 36 in the best case,35
1,1,0,0,"Hi! Let's take risks! I guess I won't use don't roll so, its up to the die.",29
1,1,1,0,"I'll be nice and always chose role, as otherwise you risk a payoff of only 15 or even 0. With In and Roll the chance for a nice payment is the highest.",32
1,1,0,0,"I will always choose roll and you choose IN, so our chances are at highest for getting good money. I will not choose dont roll, i promise!",38
1,1,0,0,"Hallo I m your Person B, I m going to choose ROLL everytime. I know my earning are going to be about 33% lower but I think this way we can both earn a bit more. Make good choises!",46
1,1,0,0,"I will choose roll on all the desicions, in order for both of us to have the chance to get more money if you are interested.",48
1,1,1,0,Let's make this fair. I guess we BOTH want some money. ,31
1,1,0,0,Hallo! I think we would be better off if you choose IN. I intend to choose ROLL in the second phase.  The probability of both of us getting  30something CHF is 5 out of 6,45
0,0,1,0,"i hope you will be IN enough times for me to DON'T ROLL.    just kidding, have fun, and play fair ;)",24
1,1,0,0,"Hello. :) If you feel like taking the risk of die = 1, go for IN and I will go for ROLL. I believe it is best for both!",44
1,0,0,0,Hey there. :) I hope the dice when rolled give any number but one. :),37
1,0,0,0,"we can choose IN and choose roll 2, 3, 4, 5 or 6...",40
1,1,0,0,if you choose in i will roll so that we both have chances for 30 francs or more,39
1,0,0,0,"I will choose ""ROLL"". Regards.",51
1,1,0,0,"Hello person A! So according to probabilities, if you choose IN and I ROLL, then  there is 83.33% probability that you will get 36 chf and  I will get 30 CHF at each time (that is the probabiliy that the dice shows 2,3,4,5 or 6). So each time I roll there is 84% (=5/6) probability that we will get maximum profit. Therefore, please choose always IN and I will always choose ROLL!",49
1,1,0,0,"Hello A, nice to meet you. As far as I know, it would be the best if you choose IN and I choose ROLL. Then the income can be maximized. Thank you very much. Have a nice day.",41
1,1,0,0,"Hi there, I hope you will always go for IN, because I will click on ROLL. So you will have a high probability to receive 36 CHF and I may receive 30CHF. I think that is the best strategy to make the most out of this study. best regards person B",54
1,1,1,0,"dear A. If we cooperate we can both get more than 15 francs. If you choose IN I will always choose ROLL, so your chance to get 36 francs will be very high. Since I would not want to be screwed over for the price of a beer and a pack of cigarettes (12 francs) if I was A, I won't choose DONT ROLL, so don't worry.  cheers, yours sincerely, B",55
1,1,0,0,"I promise that I will choose ROLL in every decision. If you choose IN in every decision, the profit will be maximized for both of us.",61
1,1,1,0,"Hi so, I guess we are both here to get the most money out of it. I suggest we make it simple, 15 CHF is not the best we can get, also it would not be fair for me to choose ""DON'T ROLL"" because that would mean you get nothing. I will go for ""ROLL"" in all 10 decisions, and we can both be happy :D Thanks, I hope I can count on you! You can certainly count on me!",53
1,1,0,0,"Hello A. I will always choose ""Roll"". You can either trust me and we both might get a lot of money, or choose ""Out"". Your call. But I will always choose ""Roll"", because I want to have 30fr. instead of 15.-. It's much better if we both earn at least 30.- money than just me. :)",43
1,1,0,0,"I think, the probability that both of us get a lot of money is the highest, when you enter IN and I choose ROLL. (You would even get more than  me :))",47
1,1,0,0,if you chose IN i will always chose ROLL so both our chances will be as high as possible to earn more than 15 chf. so the chance for you to win 36 and me 30 chf will be high and not just 15chf if you choose out. hope that's fine ,59
1,1,0,0,"Hello Person A, I just wanted to inform you that I will take 10 times ROLL, since I can't lose anything anyway, and it's the best outcome for both of us.",60
1,1,0,0,"We could both win if you choose IN all the time and I roll. You will only have a 1/6 chance of not getting paid. Trust me, or not.. Good luck!",56
1,0,0,0,I am going to roll. ,65
0,0,0,1,Hello and good luck. I hope we both get a decent amount of money. It's my first time in such an experiment and I have no idea what's going to happen.,42
1,1,0,0,"I commit to choosing to ROLL in each chance. So, if you decide to choose IN, with a very high probability, we maximise our payoffs.",62
1,1,0,0,"Hi, I'm going to play ROLL every time so we both get 30 dollars or more!",63
0,0,0,1,Lets go,64
