"treatment","model","term","human","claude","gpt","ensemble_majority","paper_coef"
"CH/S-D","chsd_coord","agree_proposal",0.195593332650681,0.0281257021499475,0.0574716668643291,0.0578538036441527,0.108
"CH/S-D","chsd_coord","discuss_coordinate",-0.0465160517531564,-0.0234162800017376,0.0148003589293284,0.0261413643682037,-0.036
"CH/S-D","chsd_coord","discuss_fairness",0.00988392509699865,0.00263629473928395,-0.0268813719074668,0.00526112192566952,0.013
"CH/S-D","chsd_coord","discuss_efficient",0.0099783172218908,0.0113066039769084,-0.0166472954232354,-0.0265485136397501,0.011
"CH/S-D","chsd_coord","discuss_rules",-0.0850827203698308,-0.228338309022749,-0.0115822376316816,-0.0418099251365336,-0.055
"CH/S-D","chsd_coord","discuss_howtoplay",0.0246216686884492,0.0496253679358031,-0.310303208342175,-0.1875962151353,0.033
"CH/S-D","chsd_coord","explanation",-0.053353058895154,0.0113658308185074,0.0263128245375628,0.0273901253226899,-0.041
"CH/S-D","chsd_coord","ask_game",NA,NA,NA,NA,NA
"CH/S-D","chsd_coord","truthful",NA,NA,NA,NA,NA
"CH/S-D","chsd_coord","falsehood",NA,NA,NA,NA,NA
"CH/S-D","chsd_eff","agree_proposal",0.201016633635995,0.0312856112248741,0.0559432424507298,-0.00865780202626842,0.217
"CH/S-D","chsd_eff","discuss_coordinate",0.206110526246156,0.289515914372175,-0.0391827411007654,-0.00969357003456306,0.203
"CH/S-D","chsd_eff","discuss_fairness",-0.252443564532478,0.138453092999843,0.100172615823462,0.142025132190175,-0.265
"CH/S-D","chsd_eff","discuss_efficient",0.251623783106666,0.171359570925166,-0.00662947042264872,0.0630183841323232,0.253
"CH/S-D","chsd_eff","discuss_rules",-0.0603366314293728,0.102748876213581,-0.0118195616591191,0.155054603698418,-0.061
"CH/S-D","chsd_eff","discuss_howtoplay",-0.105532626898354,-0.180143319547085,0.063640171312583,-0.104073725215829,-0.109
"CH/S-D","chsd_eff","explanation",0.0562199288403258,-0.125420307872747,0.0322450863280928,-0.0617772121856173,0.056
"CH/S-D","chsd_eff","ask_game",NA,NA,NA,NA,NA
"CH/S-D","chsd_eff","truthful",NA,NA,NA,NA,NA
"CH/S-D","chsd_eff","falsehood",NA,NA,NA,NA,NA
"CH-MC","chmc_eff","agree_proposal",0.0443220662497811,0.0290262956274521,-0.00795060164857453,0.016106933096668,0.045
"CH-MC","chmc_eff","discuss_coordinate",-0.0900428503110819,-0.0593645214359765,-0.119233788849799,-0.14582334193188,-0.089
"CH-MC","chmc_eff","discuss_fairness",-0.10101767915653,0.00169411972833122,0.0905173274470746,0.0223969122963263,-0.101
"CH-MC","chmc_eff","discuss_efficient",0.109262955625018,0.0659301417844436,0.151488671683504,0.149195377599931,0.111
"CH-MC","chmc_eff","discuss_rules",-0.166340600965082,-0.0985532389530517,0.0447100616746171,-0.0328887175827748,-0.165
"CH-MC","chmc_eff","discuss_howtoplay",-0.11825599588984,0.0562424621995568,0.156096340911772,0.0627121552000203,-0.117
"CH-MC","chmc_eff","explanation",0.0343581463261328,-0.0119287011369626,-0.171008882493559,-0.0821547305998938,0.035
"CH-MC","chmc_eff","ask_game",0.118187460139257,0.049975319916904,0.0457981414020158,0.0156028654323962,0.121
"CH-MC","chmc_eff","truthful",0.28978002248098,0.0278409245278284,-0.0626917713857056,0.0429316557293268,0.295
"CH-MC","chmc_eff","falsehood",-0.0322682169670261,0.191092608924168,0.432316497070338,0.261229655941332,-0.032
