any_suggestion,suggest_safe,suggest_efficient,agree_proposal,discuss_coordinate,discuss_fairness,discuss_efficient,discuss_rules,explanation,discuss_howtoplay,ask_game,receive_report,truthful,falsehood,contradict,neither_report,original_message,row_id
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,"2; mmmm / 2; qué dices? jajaj / 1; hacemos como antes / 1; luego gano yo / 2; f2 c2? / 1; y la ultima hacemos tablas / 1; te parece? / 2; vale / 2; f2 c2? / 1; sip / 2; confirmame jajaj / 2; vale / 2; asi me quedo tranquilo xd / 1; confirmado / 1; relax / 1; respira / 2; jajajajajajaja / 2; ups, el primero ha sido el fallo / 2; pero no pasa nah / 1; claro / 1; da igual / 2; es lo mismo, no? / 1; eso parece / 1; seguimos igual? / 1; son 36 / 2; vale / 1; o dices de diferencia? / 1; ah / 2; c3 y f3 / 1; vale / 1; la que mas nos de / 1; a ver cual / 0; claro / 1; F di tu / 2; c1 f1 / 1; esa no me da casi / 0; iguales lo he dejado / 1; ahora si / 2; c1 c2 una opcion / 2; y luego tu / 2; espera vamos a ver / 1; c2 f2 mejor / 2; sisi / 2; esa esta bien / 0; entonces c2 f2 / 1; si / 2; si / 2; esta es buena / 2; c2 f2 gano yo mas pero tu 3 puntos menos / 2; los comepnsamos / 2; en la siguiente? / 2; esq es la de antes / 0; porque 5-5 es mucha diferencia, no? / 1; para c solo son 3 puntos / 2; podiamos a la siguiente hacer la fila que a se lleva 80 y f  y C 26 o 54 / 2; yo lo dejaria asi / 2; y luegos hacemos la fila esa / 1; okay / 2; y nos llevamos siempre lo maximo / 0; esta 4-4 y a la siguiente la de 54 / 2; turnandonos f y c / 0; no? / 1; juego 3 / 0; maximo a quien? / 1; hacemos el 3 3? / 1; es el mas equitativo en este",15
1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"1; di tu primero / 2; c1 / 1; f1 / 2; vale bien / 1; mejor la f5 / 2; ya estaba decidido jajaj / 2; si / 1; f3 / 2; ganas mas con el f1 / 1; c3-f2 esta bien / 2; uuuf / 2; que miedo / 2; jajajajja / 1; en el bloque c5 / 2; ajajaja / 1; por? / 2; un poco tarde ya / 2; porque es la suma mas alta / 1; entonces que / 2; ahora ya no, no? / 1; me da uq eno / 1; iguales? / 2; okey , estamos deacuerdo / 1; menosmal :P / 2; c1 / 1; f1 / 1; mira tengo una teoria / 2; iluminame / 1; en el juego 1 f1 c1 ganas tu / 1; juego dos f2 c2 ganas mas tu / 2; jajaja / 2; BUENA / 0; bien jugada / 1; vamos / 0; sigamos / 1; pues esa / 0; por ahira c3 f3 / 1; si / 2; leugo hacemos una / 2; esque hacer eso compensa si luego lo hacemos al reves / 2; si / 1; vale pues ya estmos iguales / 2; tenemos q ir haciendo eso q se va turnando / 1; columna4 fila 4 / 0; valeç / 0; siempre lo mismo? / 1; no / 1; mira las variantes / 1; hay que ver que nos sume el maximo de puntos a cada uno / 1; para poder tener mas ganancias / 0; vale ya lo entiendo / 1; en las casillas que haya negativo no le des / 1; porque nos afecta y perdemos dinero / 1; el juego es el 5 / 2; fila 4 / 1; columna 4 fila 4 / 2; si / 0; si / 1; ganamos todos",2
1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,2; hacemos 1-1 y cuando toque juego 5  5-5 ?? / 1; y a la siguiente vamos a por mi maximo / 1; eso / 0; vale / 0; 1-1 en esta ronda entonces? / 1; si / 0; y cuando salga juego 5 hacemos 5-5 / 0; si / 0; por / 2; lo máximo tuyo creo que son 15 o por ahi / 1; vaya telajajajajajaja / 0; me lo juro mucho / 2; ceba yo quiero eso / 1; y lo nuestro c / 1; ? / 2; lo que me lleve va para gasolina asi que.. jjajaja / 2; tal cual me lo den se me irá,18
1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,"2; si / 0; vale / 1; y si no sale pues en la ultima el maximo de F / 1; ahora vemos / 0; vale perfecto / 0; eso / 0; cmo digasis / 2; j3 f3 y c3 / 1; dale ese q te hemos dicho / 0; okey / 1; dime cuanto nos estaremos llevando C / 1; ? / 2; nuestro máximo depende porque el suyo es 80 en todas / 0; bueno, pos ahora si que si es la despedida",20
1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2; exaaacto / 1; vale / 2; pues igual f1 c1 / 2; buah que lastima / 2; aqui no te puedes llevar casi puntos / 2; asi tu y yo ganamos lo mismo no? / 1; entre los juegos si / 2; vale / 1; el juego es el 5 / 2; si / 2; que fila coges? / 1; fila 5 columna 5 / 1; ? / 2; no? / 0; si / 1; sii / 0; que juego es grupo? / 2; lo mismo / 1; vamos a hacer ahora juego 5 fila 5 columna 5 / 0; juego 5 entonces? / 2; vale / 2; y porque no hacemos todo el rato juego 3 fila 3 columna 3 / 2; ? / 2; en las anteriores rondas / 1; no te enojes / 2; yo lo veo justo asi / 0; el num de juego solo os lo dicen a vosotros / 2; Ahora mismo A estas teniendo mucho beneficio / 1; juego 1 / 0; por eso yo no se que combinacion ager / 0; hacer* / 2; Sigue haciendo caso / 1; coge la f3c3 / 2; Que vamos bien / 1; que es la mas justo / 2; f1 c1 / 2; Seria c / 2; ahora f3 c3 / 2; Hay que buscar el 80 para A todo el rato beneficiandonos / 1; si / 2; Yo me he apuntado los juegos / 2; Juego 3 / 0; lo ultimo que habeis dicho antes / 1; otra vez rl 3 / 0; nno me ha dado tiempo / 0; a leerle / 0; leerlo* / 2; Ahora mismo A tiene el mayor beneficio / 1; tu ganas 80 en el juego 1 11 juego2 22 juego3 33 / 2; Despues F / 1; y asi todo el rato,21
1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"2; di fila jaja / 1; bua no se / 1; columna? / 2; c3 f3? / 2; otra vez xd / 1; vale / 1; aunque a la siguiente hay que quitarle al A / 2; jajaja sii / 2; igual hay un truco / 1; seguramente / 1; lo único que quien sea A, se lleva nuestra suma / 2; ya, la goza / 2; jajaja / 2; y no hace nada / 1; totalmente jajajaj c3-f3 siempre va a ser la misma cantidad / 2; seguimos igual n? / 1; mira el juego tres, mira f5-c5 y mira f1-c1 / 1; es el mismo dineor lo que pasa que una vez gana uno y otra otro, entiendes? / 1; pero que sino gana esta tu mas / 1; y vamos todas a lo mismo / 2; entonces que propones? / 1; lo que digas / 1; por 0.02 ujajajaj / 2; pues vaya / 2; Hola / 1; hola / 2; Que vas a seleccionar ? / 1; te parece bien f3 / 1; y c3 / 1; ganamos lo maximo / 2; si / 2; en cualquier caso , compensamos / 1; si a eso me referia antes / 1; f5c5? / 2; okey / 1; pero sino esa / 2; a ver podemos pillar / 0; venga / 2; escucharme / 2; f / 0; va / 2; podemos hacer una cosa / 1; si / 2; nos turmamos / 2; porque anbtes / 2; c4 c4 / 2; ganas tu mas / 2; pero luego yo va / 2; vale? / 1; no hay ninguno que ggganemos igual? / 2; c4 c4 mejor y au / 2; este renta / 0; nos sobra tiempo / 2; esque es la q mas ganamos todos / 1; si / 0; jjajajajaja / 1; vpy a ver / 2; la proxima a ver como esta el tema / 1; en los demas / 2; 42464 / 2; porque siempre me toca a mi menos / 2; asi se iguala mas / 1; mejor / 0; vale",5
1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,"2; c2 f2? / 2; que antes he ganado menos que tu jajaj / 1; como? / 1; c3 f2? / 2; antes yo he ganado 18 y tu 29 / 2; f2 c2 ganamos mas que c3 f2 / 1; vale / 2; f2 c2 entonces? jajaj / 1; jajajajajaj no lo hagassss / 2; jajajaja / 2; la ultima lo hacemos / 1; okay / 1; 32-32, porque mi maximo aqqui son 38, asique da igual / 2; porque a ti no te sale rentable / 1; hola / 2; hacemos c2 / 2; fila f2 ? / 2; y ganamos los 2 lo máximo? / 1; fila 4 yo gano mas / 2; hola / 1; hola / 1; fila 4 / 1; sr c jajajaja / 2; f1 c1 / 1; f1c1 / 2; esto es pura suerte y probabilidad , si ya tenemos una estrategia de juego / 2; depende lo que salga / 1; exacto / 2; ya tenemos los resultados / 2; pillamos cada vez uno 70 puntos / 0; yo la que me digais / 1; vale / 0; va / 0; cual / 2; espera / 1; bueno pues esa / 2; c2 c2 / 2; ? / 2; y luego ganas mas tu lo q veas / 2; te dan 33 / 1; vale / 2; no esta mal / 1; pues ese y luego al reves / 2; si es el 2 / 2; si es el 4 / 2; c4 c4 / 2; mas o menos asi / 1; c3 f3 / 1; ? / 1; el juego es el 2 / 2; 2-2? / 1; 3-3? / 0; y si ponemos uno que gane mucho la f y luego en la siguiente que gane3 el c? / 1; podemos probar la tactica / 2; vale pero queda ests y otra / 0; probamos? / 1; poned / 1; 11 / 1; 42370 / 1; no / 0; vale / 1; 42402",7
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,"2; ups / 2; he aquí un dilema jajaj / 2; hacemos lo que digas xd / 1; pfffffffffffffffffffffffffffffffffffffffff / 2; jajjaja / 1; c3f3 / 2; va / 2; me parece bien / 1; y a la siguiente mi / 1; mia* / 1; sea lo que sea jajaja / 2; a no ser que salga el 1 otra vez xd / 1; bueno pues si sale uno de neuvo tambien ganare yo / 2; jajajaja / 2; bueno, eso ya lo debatimos xd / 1; mm no / 2; venga va / 1; no da lugar / 2; jajaj / 1; escuchame / 1; podemos ganar más dineor y más rapido / 2; escucho / 1; hay que turnarnos / 2; como? / 1; las proporciones son siempre las mismas / 1; entre 12-15 / 1; el de antes / 1; jajajaja / 1; ahora coges tu el de 50 / 1; esta a medias igual / 2; Okey / 1; f4 / 2; c4 / 2; o c3 y f2 y ganamos lo mismo? / 2; c3 y f3 y ganamos lo mismo / 1; para ti son 3 menos y para mi 11 mas / 2; y ganamos más los 2 / 2; vamosa verlo rapido / 2; vavava / 1; va / 2; a ver si vemos una q nos de a ti o a mi f mucho / 1; o sino c3 f3, pero me da igual ganar menos esta vez / 2; pero qno se quede uno con 10 / 1; c3 f3, los dos ganamos 36 / 2; c2 f2 / 2; y luego tu mas / 2; un poco as / 2; o da igual / 1; es que antes ya he ganado menos yo / 2; yaya / 1; jo / 0; cual / 1; o sino / 1; c3 f3 / 1; ya / 2; no prefieres q te compense la ultima? / 2; son 3 puntos / 2; soo / 0; vale / 2; si / 2; el tres no hayla opcion esa / 1; es que hay otros con mas diferencia / 1; este el 3 3 esta bien / 2; si, 3-3 / 0; pues ese entonces / 1; juego 1",16
1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1; juego 1 / 1; 3 3' / 1; ? / 0; el maximo de f es el 5-5 no? / 2; creo que va / 2; en el 1 y 2 gano yo / 0; jajaja / 0; ula ultima sugerencia? / 1; A VER  2 3 3 / 2; pues f3 c3 del j2 / 1; SI VEIS UNA MEJOR DECIR / 2; o si F quiere perder 3 puintos / 0; veo una mejor,22
1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,"2; qué mal xd / 2; c3 y f3? / 1; jaja esque el A se nos desmadra / 1; f5 / 2; c3 y f3 ganamos mas / 1; vañe / 1; vale* / 2; ok / 1; vamos bien, no? / 2; si jajaj / 2; es mejor el c2 f2 / 1; c3-f3 / 2; para ambos / 2; vale c3 f3 / 1; f3-c3 / 1; son 32 / 2; no sabia a cual le ibas a dar / 1; en el bloque c5f5 de cualquier juego gano yo y en ese mismo juego, en c1-f1 ganas tu / 2; se / 2; iguales? / 1; perfecto / 1; peroq / 1; que sentido tiene / 1; juego 3 empate / 1; f3 c3 / 1; juego cuatro f4c4 gano yo / 1; juego cinco f5c5 gano yo / 1; f3 c3 buen / 1; el A ganas mucho / 1; o cual? / 2; esa / 1; el A se foora / 1; forra / 2; de 50 -30-80 y al reves / 2; encima el A gana un poco mas tambn / 1; ya / 2; la siguiente tu o yo depende / 1; pero si hay de iguales siempre renta tb / 2; c3 f3 / 1; el juego es el 3 / 2; filas4 / 2; no / 1; columna 4 fila 4 / 2; fila 3 / 0; 3 / 0; fila 3 / 2; c / 2; columna 3 / 0; si",3
