is_promise,is_efficiency,is_ethics,uninformative,row_id,original_message
1,0,0,0,0,"Hi! Please choose IN, I'll choose ROLL and let's hope on the chance :)"
1,0,0,0,1,i will roll the dice for you :)
1,1,0,0,2,In and Roll. Best for both of us.
1,1,0,0,3,"Hey, This is our stretegy for a win win solution. You always choose IN and always choose ROLL.This way I get 30 and you based on probabilty will get between 27 and 36. because the chances of 1 is very low in these ten decisions. So, lets do it. I assure you be happy at the end."
1,1,0,0,4,"I promise I will choose ROLL, so that we both will earn more money. By that I will earn  show up fee+30CH which is totally ok with me. You have high chance to win 36+show up fee."
0,1,0,0,5,"Hi. I think it makes more sense for both of us to choose ROLL at all times. in this case, you will get 36chf with 5/6 probability or 0 with 1/6 probability. I will get 30 chf. This is the case if you choose IN and you believe that I will choose ROLL. "
1,1,0,0,6,"Hello, lets go for rolling the dice. For me, I would like to get more than 15 CHF. For you the chance is big that you will get 36 francs if we roll. You can trust me on rolling. I dont really care about the additional extra 12 francs. But 15 francs is a little bit small to spend one hour on. Damn, this keyboard sucks. Haha. Ok, hope you pick IN."
0,1,0,0,7,"If A always chooses in and B always chooses ROLL, there is a large possibility for both  A and B to get at least  30CHF for this part."
1,1,0,0,8,Be free to choose IN. I promise I'll never choose don't roll to make sure that we both earn more money.
1,1,0,0,9,"I will always choose ROLL. That way we both will maximize our earnings if you always choose IN. I will be paid always 30CHF and you will be paid 36CHF 83% possibility (5 out of 6 numbers of the dice), which is equivaltent to 30CHF."
0,1,0,0,10,"Hi !! Go for ""IN"" ALL THE 10 TIMES. Then we can Roll and have a chance to win more. MUCH MORE and MUCH BETTER CHANCE. Thanks and All the Best."
1,1,0,0,11,"Hi there, I will press ROLL if you press IN. This will give you a 83% chance of winning 36 CHF instead of just 15 CHF and it will give me 30 CHF instead of just 15CHF, Thanks :)"
1,1,0,0,12,"I will always chose Roll, so I hope you will always chose In ;) Then we can both make a good load of money :)"
1,1,0,0,13,"Dear Partner A, I can't do more than honestly promise you that i'll press ROLL in every of the 10 decisions. In that way we can get the most out of this for the two of us. For this to work you should go for IN, so let's do this together. Have a nice day and best wishes, your Partner B"
