category,treatment,Claude,GPT,Gemini,Human,paper_Table6
agree_proposal,CH-MC,1.0,0.9069767441860465,0.9534883720930233,0.7209302325581395,0.679
agree_proposal,CH/S-D,0.9433962264150944,0.9056603773584906,0.9433962264150944,0.7735849056603774,0.789
any_suggestion,CH-MC,1.0,0.9302325581395349,1.0,0.9302325581395349,0.907
any_suggestion,CH/S-D,0.9622641509433962,0.9433962264150944,0.9622641509433962,0.9811320754716981,0.931
ask_game,CH-MC,0.5581395348837209,0.32558139534883723,0.3953488372093023,0.2558139534883721,0.194
ask_game,CH/S-D,0.2641509433962264,0.18867924528301888,0.16981132075471697,0.0,
discuss_efficient,CH-MC,0.813953488372093,0.5581395348837209,0.3953488372093023,0.37209302325581395,0.377
discuss_efficient,CH/S-D,0.7547169811320755,0.5471698113207547,0.39622641509433965,0.41509433962264153,0.394
discuss_fairness,CH-MC,0.9069767441860465,0.8604651162790697,0.9069767441860465,0.4418604651162791,0.439
discuss_fairness,CH/S-D,0.9245283018867925,0.7924528301886793,0.9056603773584906,0.41509433962264153,0.318
discuss_rules,CH-MC,0.06976744186046512,0.09302325581395349,0.3023255813953488,0.13953488372093023,0.15
discuss_rules,CH/S-D,0.07547169811320754,0.1320754716981132,0.18867924528301888,0.07547169811320754,0.117
explanation,CH-MC,0.7209302325581395,0.7209302325581395,0.4418604651162791,0.23255813953488372,0.323
explanation,CH/S-D,0.7547169811320755,0.8301886792452831,0.4339622641509434,0.16981132075471697,0.217
falsehood,CH-MC,0.0,0.023255813953488372,0.0,0.0,0.034
falsehood,CH/S-D,0.018867924528301886,0.03773584905660377,0.0,0.0,
neither_report,CH-MC,0.3023255813953488,0.5813953488372093,0.20930232558139536,0.3023255813953488,
neither_report,CH/S-D,0.4716981132075472,0.5849056603773585,0.39622641509433965,1.0,
receive_report,CH-MC,0.8372093023255814,0.6046511627906976,0.9302325581395349,0.6976744186046512,
receive_report,CH/S-D,0.7169811320754716,0.6226415094339622,0.7735849056603774,0.0,
suggest_efficient,CH-MC,0.813953488372093,0.4883720930232558,0.6511627906976745,0.4883720930232558,0.577
suggest_efficient,CH/S-D,0.7169811320754716,0.5094339622641509,0.7924528301886793,0.41509433962264153,0.484
suggest_safe,CH-MC,0.32558139534883723,0.5348837209302325,0.9534883720930233,0.6511627906976745,0.606
suggest_safe,CH/S-D,0.16981132075471697,0.4339622641509434,0.8867924528301887,0.6037735849056604,0.541
truthful,CH-MC,0.813953488372093,0.5581395348837209,0.8372093023255814,0.6976744186046512,0.684
truthful,CH/S-D,0.6981132075471698,0.5471698113207547,0.6415094339622641,0.0,
