paper,strategy,label,raters,n_raters,n_items,krippendorff_alpha,interpretation
managerial_leadership_Jordi_Cooper,0shot,any_suggestion,"['claude', 'gpt', 'gemini']",3,197,0.3889,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,suggest_safe,"['claude', 'gpt', 'gemini']",3,197,0.2036,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,suggest_efficient,"['claude', 'gpt', 'gemini']",3,197,0.1595,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,agree_proposal,"['claude', 'gpt', 'gemini']",3,197,0.5188,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,discuss_fairness,"['claude', 'gpt', 'gemini']",3,197,0.4796,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,discuss_efficient,"['claude', 'gpt', 'gemini']",3,197,0.2553,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,discuss_rules,"['claude', 'gpt', 'gemini']",3,197,-0.0068,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,explanation,"['claude', 'gpt', 'gemini']",3,197,0.168,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,discuss_howtoplay,"['claude', 'gpt', 'gemini']",3,197,0.1663,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,ask_game,"['claude', 'gpt', 'gemini']",3,197,0.3276,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,receive_report,"['claude', 'gpt', 'gemini']",3,197,0.4345,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,truthful,"['claude', 'gpt', 'gemini']",3,197,0.4289,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,falsehood,"['claude', 'gpt', 'gemini']",3,197,0.241,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,contradict,"['claude', 'gpt', 'gemini']",3,197,0.2462,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,0shot,neither_report,"['claude', 'gpt', 'gemini']",3,197,0.4285,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,any_suggestion,"['claude', 'gpt']",2,927,0.541,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,suggest_safe,"['claude', 'gpt']",2,927,-0.3206,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,suggest_efficient,"['claude', 'gpt']",2,927,0.0494,Unreliable (<0.67)
managerial_leadership_Jordi_Cooper,fewshot,agree_proposal,"['claude', 'gpt']",2,927,0.5659,Unreliable (<0.67)
