is_promise,is_efficiency,is_ethics,original_message
1,0,0,"hi! make sure to choose, ""IN"" and I'll roll too"
1,0,0,"hi, will choose roll. if you want, press out for maybe 5/10 times. That way you will definitely get something  hopefully. "
0,0,0,hi. good luck. 
1,1,0,hi... i think it's best to choose in and then roll... i promise you not to choose don't roll! lets do that in all 10 decisions. its best for you and me ;)
0,0,1,"i hope you will be IN enough times for me to DON'T ROLL.    just kidding, have fun, and play fair ;)"
1,0,0,i will always choose roll
1,0,0,i will chose roll (2-6) 
1,0,0,i will roll the dice for you :)
1,1,0,i'm going to press ROLL. So there are chances that we both get more money than 15 francs.
1,0,1,if you choose in i will roll so that we both have chances for 30 francs or more
1,0,0,"if you choose in, I'll choose roll"
1,1,0,if you chose IN I will chose ROLL so you could earn 36 in the best case
1,1,0,if you chose IN i will always chose ROLL so both our chances will be as high as possible to earn more than 15 chf. so the chance for you to win 36 and me 30 chf will be high and not just 15chf if you choose out. hope that's fine 
0,0,0,looking forward to making some money
0,0,0,my goal is to earn 50 dollars.good luck to boyh of us!
0,0,0,"please use a lot of ""in"" "
0,1,0,we both get maximum payout if you pick in and I pick roll
0,0,0,"we can choose IN and choose roll 2, 3, 4, 5 or 6..."
0,0,0,working hard or we all go home. There is nothing to it but to do it.
0,0,0,you choose to be In or Out?
