"","x"
"26",824
"28",747
"met",683
"plus",466
"gagn",356
"mdr",315
"deux",243
"bon",230
"même",221
"comm",212
"foi",210
"mieux",208
"18",193
"2",180
"10",173
"24",161
"faut",150
"bien",139
"pens",139
"pareil",135
"mettr",130
"haha",125
"tour",121
"d'accord",120
"aussi",115
"point",115
"20",113
"mainten",107
"rest",105
"gain",103
"veux",101
"22",99
"moin",98
"encor",93
"continu",90
"rien",89
"chaqu",86
"25.5",86
"fin",85
"temp",84
"peu",84
"25",83
"trop",80
"invers",80
"sai",79
"croi",79
"12",71
"compri",71
"l'autr",71
"toujour",71
"dernier",69
"meilleur",69
"chacun",65
"parc",59
"choisi",58
"autr",56
"dis",56
"truc",56
"dit",54
"regard",54
"+",54
"prend",53
"nombr",52
"combinaison",52
"choix",52
"grave",52
"chiffr",51
"euro",51
"5",50
"period",50
"march",49
"tableau",49
"vu",48
"trouv",47
"dire",47
"essay",46
"14",45
"dialogu",45
"long",44
"combien",43
"genr",43
"max",43
"vite",43
"3",42
"merci",42
"parfait",42
"0",41
"16",41
"30",41
"propos",40
"prochain",39
"pourquoi",39
"perd",39
"perdr",38
"peux",37
"entr",37
"1",36
"termin",36
"vrai",35
"mal",35
"just",35
"voir",34
"fini",34
"doit",34
"trouver",33
"calcul",33
"avant",32
"sont",32
"confianc",32
"6",32
"4",31
"comprend",31
"beaucoup",31
"comment",31
"personn",30
"68",30
"27",30
"parti",29
"41",29
"vraiment",28
"jamai",28
"altern",28
"chang",27
"mett",27
"choisir",27
"rapport",26
"cool",26
"commenc",26
"petit",26
"joue",26
"soit",26
"bonn",26
"60",26
"gagné",25
"grand",25
"voi",25
"test",24
"tape",24
"15",24
"enfin",24
"cas",24
"gros",24
"d'autr",23
"somm",23
"raison",23
"parler",23
"trouvé",23
"8",23
"depui",23
"voila",23
"cherch",22
"pass",22
"donn",22
"rentabl",22
"début",22
"final",21
"etap",21
"jusqu'a",21
"23",20
"veut",20
"périod",20
"t'inquièt",20
"mond",20
"plutot",19
"ariv",19
"expérienc",19
"car",19
"exact",19
"ensembl",19
"gard",19
"pensai",19
"deja",19
"=",19
"tout",19
"17",19
"fera",19
"pui",18
"prendr",18
"debut",18
"refait",18
"vie",18
"jeu",18
"25.4",18
"25.6",18
"fallait",17
"solut",17
"doi",17
"normal",17
"41.91",17
"voulai",17
"merd",17
"26-26",17
"sera",17
"40",17
"7",17
"gagna",17
"possibl",17
"faudrait",16
"25.7",16
"demand",16
