error,row_id,original_message
Hello! How can I help you today?,0,"Hi! Please choose IN, I'll choose ROLL and let's hope on the chance :)"
Hello! How can I help you today?,1,i will roll the dice for you :)
Hello! How can I help you today?,2,In and Roll. Best for both of us.
Hello! How can I help you today?,3,"Hey, This is our stretegy for a win win solution. You always choose IN and always choose ROLL.This way I get 30 and you based on probabilty will get between 27 and 36. because the chances of 1 is very low in these ten decisions. So, lets do it. I assure you be happy at the end."
Hello! How can I help you today?,4,"I promise I will choose ROLL, so that we both will earn more money. By that I will earn  show up fee+30CH which is totally ok with me. You have high chance to win 36+show up fee."
Hello! How can I help you today?,5,"Hi. I think it makes more sense for both of us to choose ROLL at all times. in this case, you will get 36chf with 5/6 probability or 0 with 1/6 probability. I will get 30 chf. This is the case if you choose IN and you believe that I will choose ROLL. "
Hello! How can I help you today?,6,"Hello, lets go for rolling the dice. For me, I would like to get more than 15 CHF. For you the chance is big that you will get 36 francs if we roll. You can trust me on rolling. I dont really care about the additional extra 12 francs. But 15 francs is a little bit small to spend one hour on. Damn, this keyboard sucks. Haha. Ok, hope you pick IN."
Hello! How can I help you today?,7,"If A always chooses in and B always chooses ROLL, there is a large possibility for both  A and B to get at least  30CHF for this part."
Hello! How can I help you today?,8,Be free to choose IN. I promise I'll never choose don't roll to make sure that we both earn more money.
Hello! How can I help you today?,9,"I will always choose ROLL. That way we both will maximize our earnings if you always choose IN. I will be paid always 30CHF and you will be paid 36CHF 83% possibility (5 out of 6 numbers of the dice), which is equivaltent to 30CHF."
