uninformative,SDB,overest. others,underest. own,academic integrity,info asymmetry,AI discussion priming ,privacy concerns,self-steem,self-report bias,network effect,truthful,original_message
F,TRUE ,TRUE ,TRUE ,TRUE ,TRUE ,FALSE,FALSE,TRUE ,TRUE ,FALSE,FALSE,"The discrepancy between college students' self-reported and perceived LLM usage and that of their friends can be explained by a number of plausible factors:

 Due to social desirability bias, students may underreport their own use of LLM in order to avoid being seen as technologically dependent or academically dishonest.  Students may wish to project an image of independence and competence because an excessive reliance on AI is stigmatized.
 In contrast, they may exaggerate their friends' use in an attempt to justify or normalize their own actions.  Mental defenses like ""everyone else is doing it"" are widespread.
 Absence of precise knowledge
 It's possible that students don't fully comprehend the frequency of LLM usage among their acquaintances.  Their reliance on anecdotal evidence, rumors, or assumptions may be erroneous.
It's possible that they only observe their peers utilizing LLMs in particular contexts, such as brainstorming or editing, and undervalue their application in other domains, like as writing or research.
 Various meanings of ""usage""
 It's possible that students will understand ""using"" an LLM differently.  While some may just think about direct text generation, others may also think about research, summarizing, or editing using LLMs.
 A student may overestimate a friend's use based on their perception of use, while underestimating their own use due to these disparate definitions.
 Students may project their own worries or anxiety over the use of LLMs onto their friends because they believe that others use them more regularly."
F,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Social media portraying AI use, lack of understanding of how much they use it"
F?,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Not sure, a lot of my friends do not use LLMs but I know a lot of my peers do."
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The exact details extracted from the LLMs database
F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I am not sure maybe people think they use them more then other people.
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Perceptions from others
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,The costs
F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Students may think they are more similar to their peers than they actually are.
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,very accurate
F,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I feel they think they are the only ones or feel unique when in reality the growth and use is larger than we think.
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,understanding
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
F,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Maybe they think their friends don't use them.
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,I have no idea.
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,40%
F?,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Priority differences
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,im genuinely not too sure.ive never thought statistically how much students use AI.
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not many
F?,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,not being snitches
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Yes i think so
F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Depends if they are smart or not. I fee like smarter people do not need it, but people who need help understanding material will use LLM to help them better understand material."
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,learning gap
T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,wide
F,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Some think that their friends rely a little on LLMs but they actually use LLMs everyday.
F?,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Most college students use LLMs
F,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,People assume everyone relies on LLMs much like they do.
F,TRUE ,FALSE,TRUE ,FALSE,FALSE,FALSE,FALSE,TRUE ,TRUE ,FALSE,FALSE,Nobody wants to admit how much they use it.
F,TRUE ,FALSE,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,People don't want to admit that they are using AI as much as they are.
F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,People are probably embarrassed to admit it if they are using them.
F,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,I think that this gap could be due to some students not being honest about how frequently they use LLMs out of fear of being judged or ridiculed for it
F,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,The gap is some pretend and act like they do not use them whereas they actually use them.
F?,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Shame...
F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Being embarrassed to admit how much you rely on AI for your assignments.
F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Some don’t want to admit using LLMs
F,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"They don't want to seem like they are using LLMs to help with their school assignments, especially writing assignments."
F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Some people don't want to admit to using AI
F,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"College students themselves are not as willing to admit to their LLM usage, but are fine with discussing their friends' usage."
F,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,I sense a reluctance among people to be truthful about their LLM usage.
F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No one wants to admit it
F,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,Students probably don't like admitting to it.
F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,People are embarassed
F,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,TRUE ,FALSE,FALSE,People don't want to self report that they use it a lot and make themselves look bad because they rely on it.
F,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"They think that by excluding themselves from the question, they will seem more intelligent or focused with their studies."
F,TRUE ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE ,FALSE,FALSE,FALSE,Maybe they don't want to admit that they are as reliant on LLMs as their friends are.
